Name of the Project,Link to the project,Project Details,Start Date
Transforming Political Capabilities for Equitable Resilience,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-ES_T00259X_1/summary,"Nepal and Thailand offer examples of the rapid urbanisation that is underway across the Global South. Urbanisation is dependent on systems of infrastructure that deliver core services, such as water, energy, and solid waste management. Infrastructure investment and governance decisions thus play a central role in urban inequality, distributing access to services and associated opportunities for human flourishing. As in many places, in Nepal and Thailand significant hope is invested in urbanisation, with growth in urban growth central to a vision of increased economic opportunity and a rebalancing of the economy beyond the capital cities. Yet despite accelerating rates of urbanisation, policy remains limited. The majority of secondary cities have continued to expand in area, with population growth frequently dominated by individuals and households moving into informal settlements where they are marginalised from opportunities, basic services and decision making. Those in informal settlements are also particularly at risk from hazards such as earthquakes, flooding and landslides. The risks from these hazards are routinely understood to reside in particular locations, such as in zones identified to be vulnerable to flooding or in buildings susceptible to earthquake shocks. Yet in urban areas, infrastructure, institutions and political relations create a complex web of connections across scales. It is through disruptions and failures in these underpinning urban systems that hazards are made manifest and the impacts distributed - for example when a landslide in one location disrupts access to clean water in a downstream community.   Today, resilience dominates contemporary urban disaster and climate policy initiatives and investments. While the popularity of resilience continues to increase, there are challenges. At a conceptual level, resilience overlooks the significance of power and social relations in determining who is made resilient to what risks. In practice, the focus of urban policy remains on investment to fill the 'infrastructure deficit', overlooking the way in which existing urban systems place different groups of people at risk. As a consequence, the application of resilience to policy and practice in urban settings frequently reproduces or deepens existing patterns of risk, inequality and marginality.  In this project, our vision is that urban communities are able to secure their interests in resilience planning and investments, enabling access to services critical to wellbeing in a manner that recognises and responds to the risk of failure in urban systems in the event of natural hazards. To do this we bring together scholars and practitioners in different disciplines from the UK, Nepal and Thailand. We will develop new tools and apply them in Nepal and Thailand to reveal two critical urban phenomena. First, how narratives of risk and resilience can sustain inequality in access to services. And second, how the complexity of urban systems creates risk of failures in service provision with uneven impacts on residents. Our tools will enable those working with marginal communities to identify strategic alliances and entry-points for engagement, opening spaces for dialogue in the city that generate new knowledge and narratives, securing decision making power for marginalised groups and anchoring resilience in the complexity of urban risk creation.",2019-11-1
"JustEd: Education as and for Environmental, Epistemic and Transitional justice to enable Sustainable Development",https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-ES_T004851_1/summary,"The proposed project aims to understand how secondary school learners' knowledge and experiences of justice act as drivers for the Sustainable Development Goals. Specifically, it examines three types of justice in education and how they relate to learners' intended actions with respect to SDG 13 (climate action) and SDG 16 (peace, justice and strong institutions):  - Environmental justice, which seeks to balance human and environmental rights in order that both might exist sustainably, recognising the unfair distribution of the effects of climate change. - Epistemic justice, which values different knowledges and the peoples who hold them, working against the exclusion of multiple ways of understanding the world; and - Transitional justice, which repairs wrongs of the past, acknowledging the importance of responsibility and reconciliation for possibilities of future peacebuilding.  By focusing on these forms of justice and the relationships between them, we extend and challenge traditional conceptions of justice in education, which are mainly rooted in social and distributional understandings of justice. The project will focus on both ""education for justice"" and ""education as justice."" The first focus requires an examination of how different forms of justice are taught across educational curricula, while the second looks at how social practice in schools and classrooms reflect and embody (or do not) these different forms of justice.  Our study is undertaken in secondary schools in three global contexts where these forms of justice are particularly relevant: Western Nepal, Andean Peru and Northern Uganda. These research contexts all have recent experience with conflict, are directly reliant on the natural environment and subsistence agriculture, and are ethnically diverse societies with multiple linguistic communities.   The study involves three phases which combine quantitative and qualitative data collection and analysis. The first phase of the project involves qualitative data collection through ethnographic work in schools, including interviews and participative arts-based focus group discussions in which learners draw images that illustrate their experiences with environmental, epistemic and transitional justice. This phase also includes an analysis of education policy documents, curricula, and related documents such as textbooks and examinations.   In the second phase of the project, analysis of qualitative data is used to create a questionnaire that is administered to learners on tablet computers. The questionnaire measures learners' curriculum knowledge relating to these forms of justice and SDG 13 and 16; their experiences of justice at school; their attitudes to towards justice expressed through responses to scenarios presented in short videos and images, and their intended actions and behaviours in relation to SDG 13 and 16. It will result in a quantitative dataset with approximately 6,000 responses, which will be analyzed through structural equation modelling.   The third phase of the project consists of a synthesis of these two components and the development of an analytical framework to articulate what transitional, epistemic and environmental justice would look like in a secondary education system.  While outcomes will be communicated to academic audiences through conference presentations and peer-reviewed publications, the project will achieve a broader impact on educational policy and practice through a series of targeted policy briefs and stakeholder impact events at both the regional and international level. Working with other GCRF-funded projects in the contexts of study, the project will also engage in knowledge exchange to synthesize findings and increase impact.",2020-2-1
UKRI COVID-19 Grant Extension Allocation (CoA) - University of Oxford,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-EPSRC-M3PKNFM-4HCEC5Y-M2KW8K5/summary,"The UKRI COVID-19 Grant Extension Allocation (CoA) provided organisations with resources to sustain UKRI grant-funded research during the period of pandemic disruption and its immediate aftermath. Some of the funding was directly used supporting the following ODA-eligible grants at University of Oxford: NE/P006779/1; 
NE/P00041X/1; 
MR/P011128/1; 
NE/P002218/1; 
EP/R007632/1; 
ES/S00081X/1; 
MR/M007367/1; 
MR/R013365/1; 
MR/S001964/1; 
MR/P020593/1; 
ST/R002754/1; 
MR/R020345/1; 
MR/R018391/1; 
MR/T003553/1; 
ST/S002952/1; 
MR/R006083/1.",2020-7-1
OODA GCRF and Newton Consolidation Accounts Liverpool School of Tropical Medicine,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-2ZAQ65E/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts University of Leeds,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-NCGZT4A/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts Royal Veterinary College,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-MHNHVK8/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts University of Liverpool,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-CDAN7AW/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts University of Bristol,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-SC6MZVQ/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts University of Exeter,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-LVGLW5J/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - Durham University,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-5S9WANC/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of Birmingham,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-WB72YHQ/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of Cambridge,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-RAX4QSB/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of Glasgow,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-88MWHM5/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
Core - International Collaboration Awards,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-RS-GCRF-07/summary,International Collaboration Awards enable outstanding researchers in the UK to partner with the best research groups in developing countries on projects that address issues faced by developing countries.,2016-10-1
"GCRF South-South Migration, Inequality and Development Hub",https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-ES_S007415_1/summary,"Migration between the countries of the Global South, otherwise known as South-South migration (SSM), accounts for nearly half of all international migration, reaching almost 70% in some places. The potential of SSM to contribute to development and delivery of the SDGs is widely acknowledged but remains unrealised, largely due to existing inequalities at the global, national and local levels which determine who is (and is not) able to migrate, where to, and under which terms and conditions. These multidimensional inequalities are associated with a lack of rights for migrants and their families; difficult, expensive and sometimes dangerous journeys; and limited opportunities to access services and protection, which can, in turn, exacerbate inequalities. The challenge of ensuring that SSM reduces inequalities and contributes to delivery of the SDGs is intractable due to: -   A lack of evidence about the ways in which horizontal and vertical inequalities can undermine major development investments and policies, and about the types of interventions which can overcome inequalities associated with SSM; -   A failure of existing development approaches to take account of how SSM (and related policies) is/are influenced by broader economic, political and social processes (and relevant sectoral policies); -   A focus on individual ODA-recipient countries rather than on dynamic effects along migration 'corridors' which connect origin and destination countries and the development implications of (two-way) flows of people, finance, trade and knowledge;  -   The politicisation of migration and a growing tendency to focus on migration management and border controls at the expense of equitable migration and development related outcomes;  -   The top-down, high-level orientation of much development policy planning which can dehumanise migrants by focusing on economic indicators and outcomes rather than experiences and well-being, broadly defined; and -   A gap between policy and legal frameworks to limit inequalities associated with SSM (where these exist), and their equitable delivery / implementation in practice.  The Hub is oriented towards addressing this challenge and ensuring that SSM is able to make a more equitable and effective contribution to poverty reduction, development and delivery of the SDGs, particularly SDGs 1, 5, 8 and 10. It does so by bringing together, for the first time, research and delivery partners from 12 ODA-recipient countries which constitute six SSM 'corridors' (Burkina Faso-Cote d'Ivoire, China-Ghana, Egypt-Jordan, Ethiopia-South Africa, Haiti-Brazil, Nepal-Malaysia) who will work in partnership with five UN agencies and the OECD. The Hub will deliver challenge-led programmes of research and evaluation to address inequalities associated with SSM, undertaking extensive new data collection and policy analysis, and testing interventions and solutions in a range of geographical contexts. The Overseas Development Institute (ODI) will lead the Hub's communication and dissemination work, working alongside our research partners in the Global South to develop a range of outputs for different local, national and global audiences to maximise the Hub's impact on policy and practice.  The Hub builds on existing RCUK investments but also develops equitable new partnerships in order to generate novel and innovative perspectives on the intractable challenge which it seeks to address. In particular, by bringing together researchers from the Global South working across the countries making up the SSM corridors, and connecting these teams with leading migration scholars in the Global North, the Hub provides an opportunity for significant cross-learning within and between the corridors, and on SSM more generally. In so doing it offers considerable added value, strengthening capacity and capability for understanding - and responding to - the challenges associated with SSM and delivery of the SDGs.",2019-2-13
Preparedness and planning for the mountain hazard and risk chain in Nepal,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-NE_T009772_1/summary,Project which aims to improve decision-making and preparedness in order to mitigate the impacts and reduce the risks from the mountain hazard chain in Nepal.,2021-1-1
Preparedness and planning for the mountain hazard and risk chain in Nepal,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-NE_T01038X_1/summary,"Context Nearly 1 bn people live in mountain landscapes within developing countries. Living with the impacts of multiple hazards in mountainous regions, such as monsoon rainfall, earthquakes and landsliding, is for many a day-to-day reality. Both the short- and long-term impacts of hazards are often exaggerated by their concurrent or sequential timing, and by the socio-political context in which they occur. This context results from fragmented government, rapid population change, and the very localized impacts of global (geo)political interests. As a result, hazards have recurring and disproportionate impacts on some of the most vulnerable members of society. While much research has been conducted on both the socio-political context and the individual hazards and risks that people face, this work is rarely used for disaster risk management.   Aims & objectives To tackle this, we build on our existing long-standing collaborations with the aim of examining how best to develop and use new interdisciplinary science to help inform better decision making and reduce the impacts of multi-hazards in mountain countries. We focus on Nepal, which has many similarities to other lower-income countries that endure complex multi-hazards resulting from earthquakes and monsoon rainfall as well as emerging systemic risks. Nepal is also undergoing complex  social, political and economic transformation associated with a change to a federal system of government and changing geopolitical pressures, all within a hazardous yet densely populated landscape.  The objectives of our research are each designed to make a significant difference to the ways in which residents, government, and the international community take decisions to manage multi-hazards and systemic risks. They include:  (1) Thinking critically about our current understanding of the social, political, economic and environmental context within which disasters occur in Nepal, and the data that we use to assess that context;  (2) Establishing a new approach to national-scale strategic-planning for complex multi-hazard events, which includes the consequences of linked earthquakes, monsoons and landslides;  (3) Developing interdisciplinary science to anticipate, plan for, and communicate the range of hazards that occur during the monsoon; and  (4) Finding the best ways to utilise local knowledge and interdisciplinary science to inform how to prepare for and respond to multi-hazard disasters.  Potential applications and benefit To achieve our objectives, we bring together a team of Nepali and international researchers from a range of disciplines, including geoscience, social science and the humanities, who have track records in various facets of this issue. Together, we aim to: (1) develop new fundamental data and evidence to underpin decision-making, (2) establish pathways for getting the best possible information to those who need it, in a format and timeframe that are useful and usable, (3) think critically about how multi-hazards and risks can be effectively managed, and (4) nurture an environment that supports the young researchers and practitioners who will be the future of disaster risk management in Nepal.  We ground our proposal within the context of our long-term community-based work with rural residents in Nepal, and reflect upon their articulations of the need to make better decisions to reduce the risks that they face. We also build upon our work on managing risks with the Government of Nepal and the United Nations, who coordinate disaster planning in the country. The Government, UN, and major development and humanitarian organisations have been involved from the outset in developing this proposal to ensure an agile, joined-up, evidence-based approach to multi-hazard and risk management.",2021-1-1
"Mobile Arts for Peace (MAP): Informing the National Curriculum and Youth Policy for Peacebuilding in Kyrgyzstan, Rwanda, Indonesia and Nepal",https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-AH_T008164_1/summary,"Increasing child and youth participation in decision-making and to inform national curricula and youth policies relating to peacebuilding in Kyrgyzstan, Rwanda, Indonesia, Nepal. Benefits teachers, students, policymakers. SDG:4,16,17",2020-6-30
OODA GCRF and Newton Consolidation Accounts University College London,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-8ZHL6VH/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts University of Edinburgh,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-79JJ9FN/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts Newcastle University,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-LMQGPF7/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts London School of Economics & Pol Sci,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-B4WTYXJ/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts University of Oxford,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-CYLZG9S/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts London Sch of Hygiene and Trop Medicine,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-KUVTY6Y/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of Kent,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-2QBN25T/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of Southampton,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-TSHMMDR/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - Institute of Development Studies,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-3A63U3D/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of Sheffield,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-5XZ4MRW/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - Lancaster University,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-3SX7TFW/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - Cranfield University,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-X5B8NUX/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - King's College London,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-S4B23CW/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - Imperial College,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-55DJ58F/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - CEH,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-LN39ZFZ/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - Rothamsted,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-N6PPM2B/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of Warwick,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-SV5DZ5J/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - Loughborough University,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-PBSQHHQ/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - NOC,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-SCXUPQ3/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of East Anglia,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-3FLWEAD/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
