Name of the Project,Link to the project,Project Status,Project Description
"Design, Supply Installation, Testing, and Comissioning of Ghorahi-Madichaur 132KV TL and Associated Substations at Khungri and Ghorahi",https://adb.org//projects/54107-001/main#project-tenders,Status: Awarded,"54107-001; Nepal; Energy; Contract date:
30 Dec 2022"
Financial Management Specialist,https://adb.org//node/850861,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
28 Dec 2022"
Environmental Safeguards Specialist,https://adb.org//node/850841,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
28 Dec 2022"
Social Safeguards Specialist,https://adb.org//node/850836,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
28 Dec 2022"
Monitoring and Evaluation Specialist-1,https://adb.org//node/850826,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
28 Dec 2022"
GESI Training Specialist,https://adb.org//node/850776,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
28 Dec 2022"
Monitoring and Evaluation Specialist-2,https://adb.org//node/850746,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
28 Dec 2022"
Monitoring and Evaluation Specialist-3,https://adb.org//node/850741,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
28 Dec 2022"
Project Management Specialist,https://adb.org//node/850501,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
27 Dec 2022"
Daanchhi Kageshwori Manohara Urban Water Supply and Sanitation Project,https://adb.org//projects/35173-015/main#project-tenders,Status: Awarded,"35173-015; Nepal; Water and other urban infrastructure and services; Contract date:
24 Dec 2022"
"Design, Supply, Installation, Integration, Testing and Commissioning of Substation Automation System (SAS) for Existing Grid Substations of Six Grid Division offices across Nepal",https://adb.org//projects/54107-001/main#project-tenders,Status: Awarded,"54107-001; Nepal; Energy; Contract date:
23 Dec 2022"
Health Expert,https://adb.org//node/850021,Status: Closed,"53238-001; Nepal; Public sector management;
Posting date:
22 Dec 2022"
"Design, supply, installation and commissioning of 132 kV underground line from Bhaktapur Substation to Thimi Substation and Bay addition works at Bhaktapur Substation (Package A1.2)",https://adb.org//projects/50059-003/main#project-tenders,Status: Awarded,"50059-003; Nepal; Energy; Contract date:
22 Dec 2022"
Hydro-meteorological Observation Expert,https://adb.org//node/840981,Status: Closed,"52195-001; Nepal; Agriculture, natural resources and rural development;
Posting date:
22 Dec 2022"
CW-03: Flood Control Works at West Rapti River Basin in Terai of Nepal,https://adb.org//projects/52195-001/main#project-tenders,Status: Awarded,"52195-001; Nepal; Agriculture, natural resources and rural development; Contract date:
20 Dec 2022"
CW-05: Flood Control Works at Bakraha River Basin in Terai of Nepal,https://adb.org//projects/52195-001/main#project-tenders,Status: Awarded,"52195-001; Nepal; Agriculture, natural resources and rural development; Contract date:
20 Dec 2022"
CW-04: Flood Control Works at Lakhandei River Basin in Terai of Nepal,https://adb.org//projects/52195-001/main#project-tenders,Status: Awarded,"52195-001; Nepal; Agriculture, natural resources and rural development; Contract date:
20 Dec 2022"
Project Implementation Support Consultant,https://adb.org//node/849226,Status: Closed,"48218-006; Nepal; Agriculture, natural resources and rural development;
Posting date:
20 Dec 2022"
Procurement Specialist,https://adb.org//node/849311,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
20 Dec 2022"
"Suklaphanta Municipality - Construction, Completion and Operation & Management of Integrated Solid Waste and Fecal Sludge Management Subproject",https://adb.org//projects/47252-002/main#project-tenders,Status: Awarded,"47252-002; Nepal; Water and other urban infrastructure and services; Contract date:
19 Dec 2022"
Environment Specialist,https://adb.org//node/848391,Status: Closed,"51314-001; Regional, Bangladesh, Bhutan, India, Nepal, Sri Lanka; Transport;
Posting date:
17 Dec 2022"
Transport Economist,https://adb.org//node/848336,Status: Closed,"51314-001; Regional, Bangladesh, Bhutan, India, Nepal, Sri Lanka; Transport;
Posting date:
17 Dec 2022"
Enhancing ADB’s Support for Social Protection to Achieve the Sustainable Development Goals - TA Coordinator,https://adb.org//node/847941,Status: Closed,"52012-001; Regional, Armenia, Azerbaijan, Bangladesh, Bhutan, Cambodia, Cook Islands, Fiji, Micronesia, Federated States of, Georgia, Indonesia, Kyrgyz Republic, Kiribati, Korea, Republic of, Lao People's Democratic Republic, Malaysia, Maldives, Mongolia, Myanmar, Nauru, Nepal, Pakistan, Palau, Philippines, Papua New Guinea, China, People's Republic of, Marshall Islands, Samoa, Singapore, Solomon Islands, Sri Lanka, Tajikistan, Thailand, Timor-Leste, Tonga, Uzbekistan, Vanuatu, Viet Nam; Public sector management;
Posting date:
16 Dec 2022"
SPS-TBT Expert,https://adb.org//node/847936,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
16 Dec 2022"
Trade Policy and Trade Facilitation Expert,https://adb.org//node/847931,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
16 Dec 2022"
Power System Specialist (Smart Grid) - International,https://adb.org//node/844701,Status: Closed,"50059-003; Nepal; Energy;
Posting date:
15 Dec 2022"
GESI Consultant,https://adb.org//node/846271,Status: Closed,"54153-001; Nepal; Education;
Posting date:
14 Dec 2022"
Trade Facilitation Specialist,https://adb.org//node/845531,Status: Closed,"52123-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Industry and trade;
Posting date:
11 Dec 2022"
Climate Change and Digital Agriculture Nexus Specialist,https://adb.org//node/845206,Status: Closed,"49054-001; Regional, Nepal, Pakistan, Tajikistan, Viet Nam; Agriculture, natural resources and rural development;
Posting date:
09 Dec 2022"
International Digital Agriculture Specialist,https://adb.org//node/844991,Status: Closed,"49054-001; Regional, Nepal, Pakistan, Tajikistan, Viet Nam; Agriculture, natural resources and rural development;
Posting date:
08 Dec 2022"
DWRI/MIIP/CS-01/2079-80,https://adb.org//node/844186,Status: Closed,"52130-001; Nepal; Agriculture, natural resources and rural development;
Posting date:
03 Dec 2022"
Finance Expert,https://adb.org//node/843926,Status: Closed,"54235-001; Regional, Bangladesh, Bhutan, India, Nepal, Sri Lanka; Public sector management;
Posting date:
02 Dec 2022"
Urban Expert,https://adb.org//node/843921,Status: Closed,"54235-001; Regional, Bangladesh, Bhutan, India, Nepal, Sri Lanka; Public sector management;
Posting date:
02 Dec 2022"
Team Leader cum Industry Expert,https://adb.org//node/843891,Status: Closed,"54235-001; Regional, Bangladesh, Bhutan, India, Nepal, Sri Lanka; Public sector management;
Posting date:
02 Dec 2022"
Social Safeguards Specialist (Social Data Reporting),https://adb.org//node/843031,Status: Closed,"52070-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Energy;
Posting date:
26 Nov 2022"
Extension of parallel taxiway to connect Runway-02 end at TIA and associated works,https://adb.org//projects/38349-031/main#project-tenders,Status: Awarded,"38349-031; Nepal; Transport; Contract date:
25 Nov 2022"
Economist,https://adb.org//node/823476,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
23 Nov 2022"
Tourism Expert,https://adb.org//node/840941,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
22 Nov 2022"
Flood Forecasting and Early Warning Expert,https://adb.org//node/840916,Status: Closed,"52195-001; Nepal; Agriculture, natural resources and rural development;
Posting date:
22 Nov 2022"
Numerical Weather Prediction Modeling (NWPM) Expert,https://adb.org//node/840886,Status: Closed,"52195-001; Nepal; Agriculture, natural resources and rural development;
Posting date:
22 Nov 2022"
Wastewater Management Expert,https://adb.org//node/840606,Status: Closed,"43524-014; Nepal; Water and other urban infrastructure and services;
Posting date:
19 Nov 2022"
Project Management Specialist,https://adb.org//node/840601,Status: Closed,"43524-014; Nepal; Water and other urban infrastructure and services;
Posting date:
19 Nov 2022"
Water Supply and Sanitation Expert,https://adb.org//node/840591,Status: Closed,"43524-014; Nepal; Water and other urban infrastructure and services;
Posting date:
19 Nov 2022"
3943-NEP: SASEC Power Transmission and Distribution System Strengthening Project [PMD/PTDSSP/HPP/2079/80-01],https://adb.org//node/840511,Status: Closed,"50059-003; Nepal; Energy;
Posting date:
18 Nov 2022"
ADB Loan No. 3000-NEP (SF): Kathmandu Valley Wastewater Management Project [KUKL/WW/SN-04] - CORRIGENDUM,https://adb.org//node/840106,Status: Closed,"43524-014; Nepal; Water and other urban infrastructure and services;
Posting date:
16 Nov 2022"
Senior Dam Specialist and Hydrologist,https://adb.org//node/838546,Status: Closed,"51322-001; Regional, Bangladesh, Bhutan, Nepal, Sri Lanka; Agriculture, natural resources and rural development;
Posting date:
11 Nov 2022"
Environment Specialist (National-INRM),https://adb.org//node/838311,Status: Closed,"53136-001; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
10 Nov 2022"
Information Technology Based Monitoring and Evaluation Specialist,https://adb.org//node/838306,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
10 Nov 2022"
Safeguards Specialist ( Social and Involuntary Resettlement),https://adb.org//node/837761,Status: Closed,"52070-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Energy;
Posting date:
08 Nov 2022"
Regional Cooperation Analyst,https://adb.org//node/837801,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
08 Nov 2022"
ADB Loan No. 3000-NEP (SF): Kathmandu Valley Wastewater Management Project [KUKL/WW/SN-04] - ORIGINAL,https://adb.org//node/837191,Status: Closed,"43524-014; Nepal; Water and other urban infrastructure and services;
Posting date:
04 Nov 2022"
Knowledge Solutions and Institutional Strengthening for Sustainable Development - Nepal: Sudurpaschim Integrated Economic and Tourism Development Study,https://adb.org//node/836711,Status: Closed,"54146-001; Nepal; Public sector management;
Posting date:
02 Nov 2022"
Climate and Disaster Resilience Policy Expert,https://adb.org//node/836641,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
01 Nov 2022"
Lead Climate and Disaster Resilience Policy Expert,https://adb.org//node/836616,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
01 Nov 2022"
Information Communication Technology (Knowledge and Collaboration),https://adb.org//node/836396,Status: Closed,"54342-001; Regional, Bangladesh, Mongolia, Nepal, Pakistan, Philippines, Sri Lanka, Uzbekistan; Water and other urban infrastructure and services;
Posting date:
29 Oct 2022"
Creative Design,https://adb.org//node/836356,Status: Closed,"54342-001; Regional, Bangladesh, Mongolia, Nepal, Pakistan, Philippines, Sri Lanka, Uzbekistan; Water and other urban infrastructure and services;
Posting date:
29 Oct 2022"
Database Manager,https://adb.org//node/836351,Status: Closed,"54342-001; Regional, Bangladesh, Mongolia, Nepal, Pakistan, Philippines, Sri Lanka, Uzbekistan; Water and other urban infrastructure and services;
Posting date:
29 Oct 2022"
Project & Events,https://adb.org//node/836316,Status: Closed,"54342-001; Regional, Bangladesh, Mongolia, Nepal, Pakistan, Philippines, Sri Lanka, Uzbekistan; Water and other urban infrastructure and services;
Posting date:
29 Oct 2022"
Procurement Specialist,https://adb.org//node/835456,Status: Closed,"51322-001; Regional, Bangladesh, Bhutan, Nepal, Sri Lanka; Agriculture, natural resources and rural development;
Posting date:
26 Oct 2022"
Water Regulatory,https://adb.org//node/835286,Status: Closed,"54342-001; Regional, Bangladesh, Mongolia, Nepal, Pakistan, Philippines, Sri Lanka, Uzbekistan; Water and other urban infrastructure and services;
Posting date:
25 Oct 2022"
Civil Society Organization (CSO) Capacity Building Consultant,https://adb.org//node/835011,Status: Closed,"55266-001; Regional, Fiji, Mongolia, Nepal, Philippines, Uzbekistan; Multisector;
Posting date:
22 Oct 2022"
Civil Society Day Events Consultant,https://adb.org//node/835006,Status: Closed,"55266-001; Regional, Fiji, Mongolia, Nepal, Philippines, Uzbekistan; Multisector;
Posting date:
22 Oct 2022"
Civil Society Advisory Council Consultant,https://adb.org//node/834986,Status: Closed,"55266-001; Regional, Fiji, Mongolia, Nepal, Philippines, Uzbekistan; Multisector;
Posting date:
22 Oct 2022"
"Design, Supply, Installation, Testing and Commissioning of 132/33/11 kV Air Insulated Substation at Dumkibas, Binayi Triveni Rural Municipality, Nawalparasi (Bardaghat-Susta East) District",https://adb.org//projects/54107-002/main#project-tenders,Status: Awarded,"54107-002; Nepal; Energy; Contract date:
21 Oct 2022"
Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia - Climate Change Analyst,https://adb.org//node/834771,Status: Closed,"46470-003; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
21 Oct 2022"
Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia - Climate Knowledge Management and Administration Expert,https://adb.org//node/834766,Status: Closed,"46470-003; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
21 Oct 2022"
Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia - GIS Expert,https://adb.org//node/834716,Status: Closed,"46470-003; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
21 Oct 2022"
Climate Adaptation Planning and Policy Specialist (Team Leader),https://adb.org//node/832581,Status: Closed,"52004-006; Regional, Bhutan, Cambodia, Nepal; Public sector management;
Posting date:
19 Oct 2022"
Environment Specialist (Ornithologist) - Natl SATC,https://adb.org//node/832551,Status: Closed,"53136-001; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
19 Oct 2022"
International SOE Reforms Specialist,https://adb.org//node/830781,Status: Closed,"55111-001; Regional, Armenia, Bangladesh, Indonesia, Maldives, Mongolia, Nepal, China, People's Republic of, Tajikistan; Public sector management;
Posting date:
18 Oct 2022"
"Design, Supply, Installation, Testing, and Commissioning of Borang-Naubise (Ratmate) 220kV Transmission Line and Associated Substations",https://adb.org//projects/54107-001/main#project-tenders,Status: Awarded,"54107-001; Nepal; Energy; Contract date:
16 Oct 2022"
3542-NEP: Power Transmission and Distribution Efficiency Enhancement Project [PMD/PTDEEP/ASCP/2079/80-01],https://adb.org//node/831986,Status: Closed,"50059-002; Nepal; Energy;
Posting date:
14 Oct 2022"
Civil Society Brief Writer - Philippines,https://adb.org//node/831941,Status: Closed,"55266-001; Regional, Fiji, Mongolia, Nepal, Philippines, Uzbekistan; Multisector;
Posting date:
14 Oct 2022"
DoLI/RCIP-AF/PISC-01/079/80,https://adb.org//node/831661,Status: Closed,"48218-003; Nepal; Agriculture, natural resources and rural development;
Posting date:
13 Oct 2022"
Regional Cooperation Initiatives Coordinator,https://adb.org//node/828661,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
12 Oct 2022"
Maritime Expert,https://adb.org//node/817601,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
12 Oct 2022"
Supply and Value Chain Expert,https://adb.org//node/817576,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
12 Oct 2022"
Capacity Development Technical Assistance,https://adb.org//projects/53304-001/main#project-tenders,Status: Awarded,"53304-001; Regional, Armenia, Lao People's Democratic Republic, Nepal; Health; Contract date:
10 Oct 2022"
Financial Management Specialist (National),https://adb.org//node/830561,Status: Closed,"51322-001; Regional, Bangladesh, Bhutan, Nepal, Sri Lanka; Agriculture, natural resources and rural development;
Posting date:
07 Oct 2022"
Citizen Engagement Framework Writer,https://adb.org//node/830241,Status: Closed,"55266-001; Regional, Fiji, Mongolia, Nepal, Philippines, Uzbekistan; Multisector;
Posting date:
06 Oct 2022"
WASH Consultant Firm,https://adb.org//node/830031,Status: Closed,"54342-001; Regional, Bangladesh, Mongolia, Nepal, Pakistan, Philippines, Sri Lanka, Uzbekistan; Water and other urban infrastructure and services;
Posting date:
05 Oct 2022"
Digital Solutions to Improve Agricultural Value Chains - Agricultural Economist (TAJ),https://adb.org//node/823821,Status: Closed,"49054-001; Regional, Nepal, Pakistan, Tajikistan, Viet Nam; Agriculture, natural resources and rural development;
Posting date:
04 Oct 2022"
Enhancing ADB’s Support for Social Protection to Achieve the Sustainable Development Goals - Social Protection Specialist,https://adb.org//node/829601,Status: Closed,"52012-001; Regional, Armenia, Azerbaijan, Bangladesh, Bhutan, Cambodia, China, People's Republic of, Cook Islands, Fiji, Georgia, Indonesia, Kiribati, Korea, Republic of, Kyrgyz Republic, Lao People's Democratic Republic, Malaysia, Maldives, Marshall Islands, Micronesia, Federated States of, Mongolia, Myanmar, Nauru, Nepal, Pakistan, Palau, Papua New Guinea, Philippines, Samoa, Singapore, Solomon Islands, Sri Lanka, Tajikistan, Thailand, Timor-Leste, Tonga, Uzbekistan, Vanuatu, Viet Nam; Public sector management;
Posting date:
02 Oct 2022"
Water Sector Institutional Specialist,https://adb.org//node/828796,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
28 Sep 2022"
Economic Analyst,https://adb.org//node/828696,Status: Closed,"53317-001; Regional, Bangladesh, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Mongolia, Myanmar, Nepal, Philippines, Sri Lanka, Thailand, Viet Nam; Finance;
Posting date:
28 Sep 2022"
Subproject 4 Coordinator,https://adb.org//node/828681,Status: Closed,"52004-006; Regional, Bhutan, Cambodia, Nepal; Public sector management;
Posting date:
27 Sep 2022"
Economist/Statistician,https://adb.org//node/823796,Status: Closed,"53303-001; Regional, Bangladesh, Bhutan, Brunei Darussalam, Cambodia, Fiji, Hong Kong, China, India, Indonesia, Lao People's Democratic Republic, Malaysia, Maldives, Mongolia, Myanmar, Nepal, Pakistan, Philippines, China, People's Republic of, Singapore, Sri Lanka, Thailand, Viet Nam; Public sector management;
Posting date:
25 Sep 2022"
48218-NEP: Rural Connectivity Improvement Project – Additional Financing,https://adb.org//node/827721,Status: Active,"48218-001; Nepal; Agriculture, natural resources and rural development;
Posting date:
22 Sep 2022"
Lot 1 - Seti Bridge,https://adb.org//projects/52097-002/main#project-tenders,Status: Awarded,"52097-002; Nepal; Transport; Contract date:
21 Sep 2022"
Policy and Advisory Technical Assistance,https://adb.org//projects/54146-001/main#project-tenders,Status: Awarded,"54146-001; Nepal; Public sector management; Contract date:
21 Sep 2022"
Project Manager,https://adb.org//node/823511,Status: Closed,"54201-001; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Health;
Posting date:
18 Sep 2022"
Monitoring and Evaluation (M&E) Specialist,https://adb.org//node/823386,Status: Closed,"54201-001; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Health;
Posting date:
18 Sep 2022"
Recruitment of National Road safety Implementation Consulting Firms for SASEC Highway Improvement Project (SHIP-RSIC),https://adb.org//node/824546,Status: Closed,"52097-001; Nepal; Transport;
Posting date:
16 Sep 2022"
Public Health Specialist,https://adb.org//node/824251,Status: Closed,"55060-001; Nepal; Health;
Posting date:
15 Sep 2022"
Transport Specialist,https://adb.org//node/824236,Status: Closed,"52123-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Industry and trade;
Posting date:
15 Sep 2022"
Climate Change and Disaster Risk Management Analyst,https://adb.org//node/824031,Status: Closed,"46470-003; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
14 Sep 2022"
Customs Reform and Modernization Facilitator,https://adb.org//node/824016,Status: Closed,"54402-002; Nepal; Industry and trade;
Posting date:
14 Sep 2022"
Climate Change and Disaster Risk Management Policy Expert,https://adb.org//node/824011,Status: Closed,"46470-003; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
14 Sep 2022"
Water Resources Specialist / Deputy Team Leader,https://adb.org//node/823826,Status: Closed,"51322-001; Regional, Bangladesh, Bhutan, Nepal, Sri Lanka; Agriculture, natural resources and rural development;
Posting date:
13 Sep 2022"
Digital Solutions to Improve Agricultural Value Chains - Food Security Analytics Specialist (TAJ),https://adb.org//node/823816,Status: Closed,"49054-001; Regional, Nepal, Pakistan, Tajikistan, Viet Nam; Agriculture, natural resources and rural development;
Posting date:
13 Sep 2022"
Sector Strategy Expert,https://adb.org//node/823501,Status: Closed,"53117-001; Regional, Bangladesh, Bhutan, India, Myanmar, Nepal, Sri Lanka, Thailand; Transport;
Posting date:
10 Sep 2022"
Social Safeguard Expert (FPIC Communications and Conflict Management Expert),https://adb.org//node/823536,Status: Closed,"52070-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Energy;
Posting date:
09 Sep 2022"
Social National Safeguard Expert (FPIC Gender and Social Inclusion Expert),https://adb.org//node/823436,Status: Closed,"52070-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Energy;
Posting date:
09 Sep 2022"
L3711-NEP: Urban Water Supply and Sanitation (Sector) Project [UWSSP/OCB/25],https://adb.org//node/823161,Status: Closed,"35173-015 ; Nepal; Water and other urban infrastructure and services;
Posting date:
08 Sep 2022"
Public Finance Specialist,https://adb.org//node/823051,Status: Closed,"56036-001; Regional, Bangladesh, Bhutan, Cambodia, Fiji, Micronesia, Federated States of, Kyrgyz Republic, Kiribati, Lao People's Democratic Republic, Maldives, Mongolia, Nauru, Nepal, Niue, Pakistan, Palau, Papua New Guinea, Marshall Islands, Samoa, Solomon Islands, Tajikistan, Timor-Leste, Tonga, Tuvalu, Uzbekistan, Vanuatu; Public sector management;
Posting date:
08 Sep 2022"
National Social Safeguard (FPIC) Expert,https://adb.org//node/822816,Status: Closed,"52070-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Energy;
Posting date:
07 Sep 2022"
Road Safety Specialist,https://adb.org//node/822466,Status: Closed,"51314-001; Regional, Bangladesh, Bhutan, India, Nepal, Sri Lanka; Transport;
Posting date:
06 Sep 2022"
Lot 2 - Madi Bridge,https://adb.org//projects/52097-002/main#project-tenders,Status: Awarded,"52097-002; Nepal; Transport; Contract date:
05 Sep 2022"
Procurement Planning Specialist,https://adb.org//node/822136,Status: Closed,"51314-001; Regional, Bangladesh, Bhutan, India, Nepal, Sri Lanka; Transport;
Posting date:
05 Sep 2022"
Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia-Climate Finance and Program Coordination Expert,https://adb.org//node/822086,Status: Closed,"46470-003; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
03 Sep 2022"
Strengthening Capacity to Design and Implement Water and Rural Infrastructure Facility - Team Leader / Infrastructure Specialist,https://adb.org//node/821832,Status: Closed,"51322-001; Regional, Bangladesh, Bhutan, Nepal, Sri Lanka; Agriculture, natural resources and rural development;
Posting date:
02 Sep 2022"
National Tax Management Consultant,https://adb.org//node/821576,Status: Closed,"51320-001; Regional, Armenia, Azerbaijan, Bhutan, Cambodia, Cook Islands, Fiji, Georgia, Kyrgyz Republic, Lao People's Democratic Republic, Maldives, Mongolia, Nepal, Pakistan, Palau, Philippines, Papua New Guinea, Marshall Islands, Samoa, Solomon Islands, Tajikistan, Thailand, Tonga, Uzbekistan, Vanuatu, Viet Nam; Public sector management;
Posting date:
01 Sep 2022"
Social Safeguard Expert with IT,https://adb.org//node/821551,Status: Closed,"52070-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Energy;
Posting date:
01 Sep 2022"
Strengthening the Central PDF for Priority Infrastructure Projects in Cambodia: National Project Finance Expert,https://adb.org//node/797171,Status: Closed,"55111-001; Regional, Armenia, Bangladesh, Indonesia, Maldives, Mongolia, Nepal, China, People's Republic of, Tajikistan; Public sector management;
Posting date:
30 Aug 2022"
Social Safeguards Specialist (Indigenous Peoples Expert & FPIC Specialist),https://adb.org//node/821136,Status: Closed,"52070-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Energy;
Posting date:
30 Aug 2022"
Economic Analyst,https://adb.org//node/820856,Status: Closed,"56036-001; Regional, Bangladesh, Bhutan, Cambodia, Fiji, Micronesia, Federated States of, Kyrgyz Republic, Kiribati, Lao People's Democratic Republic, Maldives, Mongolia, Nauru, Nepal, Niue, Pakistan, Palau, Papua New Guinea, Marshall Islands, Samoa, Solomon Islands, Tajikistan, Timor-Leste, Tonga, Tuvalu, Uzbekistan, Vanuatu; Public sector management;
Posting date:
27 Aug 2022"
Trade Finance Consultant for Sri Lanka,https://adb.org//node/820836,Status: Closed,"46920-022; Regional, Bangladesh, Bhutan, Nepal, Sri Lanka; Finance;
Posting date:
27 Aug 2022"
Strengthening the Central PDF for Priority Infrastructure Projects in Cambodia: International Public Financial Management Expert,https://adb.org//node/797131,Status: Closed,"55111-001; Regional, Armenia, Bangladesh, Indonesia, Maldives, Mongolia, Nepal, China, People's Republic of, Tajikistan; Public sector management;
Posting date:
26 Aug 2022"
Senior Economic Analyst,https://adb.org//node/820361,Status: Closed,"56036-001; Regional, Bangladesh, Bhutan, Cambodia, Fiji, Micronesia, Federated States of, Kyrgyz Republic, Kiribati, Lao People's Democratic Republic, Maldives, Mongolia, Nauru, Nepal, Niue, Pakistan, Palau, Papua New Guinea, Marshall Islands, Samoa, Solomon Islands, Tajikistan, Timor-Leste, Tonga, Tuvalu, Uzbekistan, Vanuatu; Public sector management;
Posting date:
25 Aug 2022"
"ISWM Godavari - Construction, Completion and Operation & Management of Integrated Solid Waste and Fecal Sludge Management Subproject in Godavari Municipality",https://adb.org//projects/47252-002/main#project-tenders,Status: Awarded,"47252-002; Nepal; Water and other urban infrastructure and services; Contract date:
23 Aug 2022"
"Design, Supply, Installation, Testing and Commissioning of Mulpani 132/11kV GIS Substation",https://adb.org//projects/54107-002/main#project-tenders,Status: Awarded,"54107-002; Nepal; Energy; Contract date:
22 Aug 2022"
Social Safeguard Expert,https://adb.org//node/807721,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
20 Aug 2022"
Energy Expert,https://adb.org//node/817586,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
18 Aug 2022"
Transport and Logistics Expert,https://adb.org//node/817556,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
18 Aug 2022"
SPS-TBT Expert,https://adb.org//node/817541,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
18 Aug 2022"
Tourism Expert,https://adb.org//node/817521,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
18 Aug 2022"
Inland Waterway Transport Expert,https://adb.org//node/817516,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
18 Aug 2022"
