"Name of the Project","Duration of the Project","Sector"
"Demographic and Health Surveys (DHS-8)","","HIV/AIDS"
"Protection, Assistance and Solutions","","Developmental Food Aid/Food Security Assistance"
"Counter Terrorism and Irregular Warfare Fellowship Program (CTIWFP)","","Conflict, Peace, and Security"
"Counter Terrorism and Irregular Warfare Fellowship Program (CTIWFP)","","Conflict, Peace, and Security"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Agriculture"
"Counter Terrorism and Irregular Warfare Fellowship Program (CTIWFP)","","Conflict, Peace, and Security"
"Assistance and Recovery","","Developmental Food Aid/Food Security Assistance"
"Program Design and Learning","","Agriculture"
"Administrative, Technical, and Support Staff Services to the Bureaus of Asia and Legislative and Public Affairs","2015-05-22 - 2020-11-21","Agriculture"
"Program Design and Learning","","Program Design and Learning"
"USAID Advisory and Assistance Services","","Disaster Prevention and Preparedness"
"USAID Advisory and Assistance Services","","Developmental Food Aid/Food Security Assistance"
"Combating Trafficking In Persons (CTIP)","2010-08-13 - 2017-06-30","Government and Civil Society"
"Administration and Oversight","","Administration and Oversight"
"Macro Grant to UN Office for the Coordination of Humanitarian Affairs (UNOCHA)","2015-01-01 - 2015-12-31","Emergency Response"
"USAID Travel and Transportation","","Administration and Oversight"
"Ghar Ghar Maa Swastha/Health Homes","2010-08-06 - 2015-08-05","Maternal and Child Health, Family Planning"
"USAID Communications, Utilities, and Rental Payments","","Agriculture"
"Replenishing the Rhino Population in Bardia National Park","2017-06-01 - 2019-06-30","General Environmental Protection"
"Cross-cutting Health Systems Strengthening (FP/RH)","","Maternal and Child Health, Family Planning"
"USAID Equipment, Lands, and Structures","","Administration and Oversight"
"USAID/OFDA Grant for Nepal","2016-08-05 - 2018-08-31","Disaster Prevention and Preparedness"
"Nepal Community Reconstruction Program (NCRP) IDIQ Task Order to Reconstruct or Rehabilitate Schools and Health Facitilities","","Disaster Prevention and Preparedness"
"Procurement Support Award (PSA)","2013-07-29 - 2019-12-28","HIV/AIDS"
"Treatment of Child Illness","","Basic Health"
"Communication and Knowledge Management (FP/RH)","","Maternal and Child Health, Family Planning"
"Host Country Strategic Information Systems (MCH)","","Health, General"
"Bureau of Diplomatic Security - DECO - GATA - NEPAL","2017-06-19 - 2018-06-18","Government and Civil Society"
"Bureau of Energy Resources - TECHASST for Power Sector of Nepal","2015-09-30 - 2017-03-03","Energy"
"Bureau of Diplomatic Security - GATA DECO Option Year 2 NEPAL","2016-05-01 - 2017-10-31","Government and Civil Society"
"Cross-cutting Health Systems Strengthening","","Health, General"
"Newborn Care and Treatment","","Maternal and Child Health, Family Planning"
"Trafficking-in-Persons and Migrant Smuggling","","Government and Civil Society"
"Public Sector Executive Function","","Government and Civil Society"
"Nutrition Enabling Environment and Capacity","","Basic Health"
"Birth Preparedness and Maternity Services","","Maternal and Child Health, Family Planning"
"Evidence-Led Actions","","Government and Civil Society"
"Risk Management Policy and Practice","","Disaster Prevention and Preparedness"
"Physical Rehabilitation Activity","","Government and Civil Society"
"Voluntary Contribution to the United Nations High Commissioner for Refugees (UNHCR) 2019 Global Appeal","","Emergency Response"
"Nepal Community Reconstruction Program (NCRP) IDIQ Task Order to Reconstruct or Rehabilitate Schools and Health Facitilities in Makawanpur District","","Maternal and Child Health, Family Planning"
"Feed the Future Population Survey in Nepal","2014-09-23 - 2022-09-22","Operating Expenses"
"ASIA Cost Recovery-funded IT - 2019","","Maternal and Child Health, Family Planning"
"Unspecified Activity","","Government and Civil Society"
"Strengthening the Public Financial Management (PFM) Systems","2016-08-15 - 2021-08-13","Basic Education"
"Breakthrough-ACTION","2017-07-21 - 2025-07-31","Maternal and Child Health, Family Planning"
"Breakthrough-ACTION","2017-07-21 - 2025-07-31","Water Supply and Sanitation"
"Strengthening the Public Financial Management (PFM) Systems","2016-08-15 - 2021-08-13","HIV/AIDS"
"Strengthening the Public Financial Management (PFM) Systems","2016-08-15 - 2021-08-13","Maternal and Child Health, Family Planning"
"T-Digital Technical Assistance-Digital Frontiers","2017-09-28 - 2024-09-27","Business and Other Services"
"Counter Terrorism and Irregular Warfare Fellowship Program (CTIWFP)","","Conflict, Peace, and Security"
"To conduct studies, trends analyses and training for early grade reading.","2014-07-11 - 2023-01-11","Education, Level Unspecified"
"Conservation and Seismic Strengthening of the 18th-Century Octagonal Krishna Temple in Patan Durbar Square","","General Environmental Protection"
"USAID Miscellaneous Goods, Services, and Operations Maintanence","","Program Design and Learning"
"Refugee Assistance [redacted]","","Emergency Response"
"Combating Poaching and Illegal Wildlife Trade in Western Nepal","","General Environmental Protection"
"Export Control and Related Border Security Assistance, Unspecified","","Government and Civil Society"
"USAID/OFDA IAA with US Geological Survey","2016-10-01 - 2021-09-30","Disaster Prevention and Preparedness"
"Sustaining Health Outcomes through the Private Sector (SHOPS) Plus","2015-10-01 - 2022-12-31","HIV/AIDS"
"Strengthening the Public Financial Management (PFM) Systems","2016-08-15 - 2021-08-13","Water Supply and Sanitation"
"Export Control and Related Border Security Assistance, Unspecified","","Conflict, Peace, and Security"
"Administration and Oversight","","Maternal and Child Health, Family Planning"
"Administrative, Technical, and Support Staff Services to the Bureaus of Asia and Legislative and Public Affairs","2015-05-29 - 2020-05-28","Other Multisector"
"Combating Terrorism Fellowship Program (CTFP)","","Conflict, Peace, and Security"
"Enhancing Security and Ensuring Adequate Prey-Base for the Increasing Tiger (Panthera tigris tigris) Population in Babai Valley of Bardia National Park, Nepal","","General Environmental Protection"
"Sustaining Tiger and Prey Recovery to Establish a Trans-Frontier Tiger Stronghold Across the Nandhaur Landscape","","General Environmental Protection"
"Tiger Conservation Initiatives Outside Protected Areas in the Terai Arc Landscape Nepal to Maintain the Linkages of Two Tiger Sub-Populations and Sustain the Tiger Population Growth","","General Environmental Protection"
"Securing Habitat for Sustainable Future of Rhino Tiger in Chitwan Parsa Complex, Nepal,","","General Environmental Protection"
"Using science-based technology to estimate population of wild elephants to address conservation challenges related to conflict in Western Nepal","","General Environmental Protection"
"Export Control and Related Border Security Assistance, Enforcement","","Government and Civil Society"
"USAID/Nepal Monitoring Evaluation and Learning - MEL","2015-04-15 - 2020-11-14","Maternal and Child Health, Family Planning"
"Range States Meeting for Asian Elephant Conservation, 2020","","General Environmental Protection"
"Integrated Watershed Management Activity","","Operating Expenses"
"U.S. Department of Defense, Institutional Capacity Building Programs: Defense Institution Reform Initiative","","Conflict, Peace, and Security"
"Feed the Future Population Survey in Nepal","2014-09-23 - 2022-09-22","Program Design and Learning"
"Developing elephant conservation action plan and strengthening elephant conservation initiatives focused to Khata and Karnali forest corridors of Bardia, Nepal","","General Environmental Protection"
"National Endowment for Democracy Grant - Democratic Ideas and Values","","Government and Civil Society"
"Setting up Community-Based Livestock and Crop Insurance Schemes to Strengthen Human Wildlife Coexistence in Bardia National Park, Nepal","","General Environmental Protection"
"Measuring Impact 2 (MI 2)","","Agriculture"
"Integrated Watershed Management Activity","","Program Design and Learning"
"Technical Assistance for Banking & Financial Services - Nepal","","Government and Civil Society"
"Julia Taft Refugee Fund Project: Support to Sexual and Gender-Based Violence Survivors in Tibetan Refugee Settlements and Host Communities in Kathmandu, Nepal","","Emergency Response"
"Recovering Tigers in Nepal: Expanding a comprehensive law enforcement strategy to eradicate.poaching in the Terai Arc Landscape","2017-07-02 - 2020-09-30","General Environmental Protection"
"Education Support & Initiative (ESI)","2015-09-30 - 2021-09-29","Basic Education"
"Hamro Samman","2017-07-12 - 2024-03-11","Conflict, Peace, and Security"
"USAID/Nepal Monitoring Evaluation and Learning - MEL","2015-04-15 - 2020-11-14","HIV/AIDS"
"Department of Energy, International Nuclear Safeguards Engagement Program","","Energy"
"U.S. Department of Defense, Institutional Capacity Building Programs: Asia Pacific Center for Strategic Studies","","Conflict, Peace, and Security"
"U.S. Department of Defense, Institutional Capacity Building Programs: Near East South Asia Center for Strategic Studies","","Conflict, Peace, and Security"
"USAID Advisory and Assistance Services","","Agriculture"
"IBM Bridge contract","","Operating Expenses"
"Department of Energy, International Nuclear Safeguards Engagement Program","","Energy"
"Administration and Oversight","","Agriculture"
"Technical Assistance for Banking and Financial Services - Nepal","","Government and Civil Society"
"Bureau of Diplomatic Security - CVC - Nepal","2016-08-25 - 2017-08-24","Government and Civil Society"
"Measure Evaluation IV","2014-07-01 - 2020-11-30","Health, General"
"Law Enforcement Restructuring, Reform and Operations","","Conflict, Peace, and Security"
"Feed the Future Innovation Lab for Collaborative Research on Nutrition in Asia - Associate Award for Aflatoxin Research in Nepal","2014-02-14 - 2018-02-13","Agriculture"
"Global Development Lab: Rapid Feedback Mechanism - MERLIN","2015-10-01 - 2024-09-30","Other Multisector"
"Ghar Ghar Maa Swastha/Health Homes","2010-08-06 - 2015-08-05","Basic Health"
"Suaahara - Integrated Nutrition Program (INP)","2011-08-30 - 2016-10-28","Basic Health"
"Safe Wash II","2014-07-01 - 2019-06-30","Water Supply and Sanitation"
"Liberia Focus on Results: Enhancing Capacity across Sectors in Transition (FORECAST)","2002-04-03 - 2011-06-17","Trade Policy and Regulations"
"Support for International Family Planning and Health Organizations (SIFPO) 2: Sustainable Networks - IPPF","2014-05-13 - 2019-05-12","Maternal and Child Health, Family Planning"
"Knowledge-based Integrated Sustainable Agriculture","2013-02-14 - 2017-08-13","Agriculture"
"Sustainable Action For Resilience And Food Security (Sabal)","2014-10-17 - 2020-02-29","Agriculture"
"Housing Reconstruction Technical Assistance Project","2015-10-01 - 2021-09-30","Maternal and Child Health, Family Planning"
"Development Food Assistance Program in Niger, Hamzari","","Agriculture"
"Reading For All","","Other Social Infrastructure and Services"
"Ghar Ghar Ma Swasthya","2010-05-01 - 2020-04-30","Maternal and Child Health, Family Planning"
"Nepal Health System Strengthening (HSS) Program","","Health, General"
"ASIA Cost Recovery-funded IT - 2018","2017-05-10 - 2018-09-30","Maternal and Child Health, Family Planning"
"USAIDs Early Grade Reading Program in Nepal (EGRP)","2015-03-02 - 2020-10-31","Education, Level Unspecified"
"Strengthening Rehabilitation in District Environs (STRIDE)","2010-01-29 - 2019-01-28","Other Social Infrastructure and Services"
"Service Delivery","","Maternal and Child Health, Family Planning"
"Public International Organization (PIO) Grant to World Bank Multi-Donor Trust Fund","","Maternal and Child Health, Family Planning"
"USAID/OFDA Grant for Protection","2015-09-01 - 2019-08-31","Disaster Prevention and Preparedness"
"Ghar Ghar Ma Swasthya","2010-05-01 - 2020-04-30","Basic Health"
"Housing Reconstruction Technical Assistance Project","2015-10-01 - 2021-09-30","Basic Education"
"Restoration and Seismic Strengthening of the Early 20th-Century Gaddi Baithak in Kathmandu Durbar Square, Phase 2 and Gateway","","General Environmental Protection"
"Sustaining Health Outcomes through the Private Sector (SHOPS) Plus","2015-10-01 - 2022-12-31","Basic Health"
"Combating Terrorism Fellowship Program (CTFP)","2017-10-01 - 2018-09-30","Conflict, Peace, and Security"
"M&E Capacity Building (MECap)","2014-10-01 - 2020-07-15","Other Multisector"
"Treatment of Obstetric Complications and Disabilities","","Maternal and Child Health, Family Planning"
"Conservation of the Dzong Chode Shedup Choepel Ling Gompa in Mustang","","General Environmental Protection"
"Proactive Pangolin Protection: coordinated capacity building for prosecutions and deterrence in Nepal","","General Environmental Protection"
"Public International Organization (PIO) Grant to World Bank Multi-Donor Trust Fund","","Basic Health"
"Strengthening Rhino (Rhinoceros unicornis) Conservation in Chitwan National Park, Nepal","","General Environmental Protection"
"Strengthening human-elephant co-existance in the Eastern Terai of Nepal","","General Environmental Protection"
"Procurement and Supply Chain (FP/RH)","","Maternal and Child Health, Family Planning"
"Ghar Ghar Ma Swasthya","2010-05-01 - 2020-04-30","HIV/AIDS"
"Policy Analysis and Capacity Building","","Maternal and Child Health, Family Planning"
"Host Country Strategic Information Systems (FP/RH)","","Maternal and Child Health, Family Planning"
"Public International Organization (PIO) Grant to World Bank Multi-Donor Trust Fund","","HIV/AIDS"
"Global Health Fellows Program II (GHFP-II)","2011-10-01 - 2019-06-30","Health, General"
"Export Control and Related Border Security Assistance, Legal and Regulatory","","Government and Civil Society"
"Nepal Community Reconstruction Program (NCRP) IDIQ","","Maternal and Child Health, Family Planning"
"USAID Travel and Transportation","","Basic Health"
"Global Health Supply Chain - Procurement and Supply Management (GHSC-PSM) - Maternal and Child Health Task Order 4","2015-04-15 - 2024-11-28","HIV/AIDS"
"Housing Reconstruction Technical Assistance Project","2015-10-01 - 2021-09-30","Other Social Infrastructure and Services"
"USAID Equipment, Lands, and Structures","","Developmental Food Aid/Food Security Assistance"
"USAID Travel and Transportation","","Program Design and Learning"
"OFDA-2014-IOM","2014-05-30 - 2015-05-31","Disaster Prevention and Preparedness"
"FY 2015 ASHA Award - Himalayan Cataract Project, Tilganga (Nepal)","2015-10-01 - 2017-12-31","Basic Health"
"Feed the Future Monitoring and Evaluation (FTF M&E)","2014-01-13 - 2016-12-31","Agriculture"
"Advancing Partners and Community-based Family Planning","2012-10-01 - 2019-09-30","Other Social Infrastructure and Services"
"OFDA-2014-NRCS","2014-08-13 - 2015-01-31","Emergency Response"
"USAID/Liberia Program Design and Learning - technical consultants","2013-10-01 - 2016-03-31","Agriculture"
"Other Public Health Threats","","Basic Health"
"MCC Enabling Environment for Off-Grid Electricity Activity","","Unallocated/ Unspecified"
"MCC Cross-Border and Distribution Activity","","Unallocated/ Unspecified"
"Earthquake Emergency Assistance Project (EAAP)","2016-12-14 - 2018-09-30","Education, Level Unspecified"
"Millennium Challenge Corporation Threshold Country Program, Participating Agency Program Agreement - Armed Police Force","","Government and Civil Society"
"International Organization for Migration (IOM) - Support: Voluntary Contribution to Fund Certain Activities Related to Processing Individuals Requesting Refugee Status and Resettlement in the United States","","Emergency Response"
"Basic Education: Early Grade Reading Program (G2G)","2014-09-01 - 2017-08-31","Basic Education"
"USAIDs Nepal Hydropower Development Project","2015-07-09 - 2020-08-31","General Environmental Protection"
"CGIAR Fund grant with the World Bank.","2011-09-30 - 2017-09-30","Agriculture"
"Support for International Family Planning and Health Organizations (SIFPO) 2: Sustainable Networks - SMH","2014-04-18 - 2019-04-17","Maternal and Child Health, Family Planning"
"Protection, Assistance and Solutions","","Emergency Response"
"ARP- Feed the Future Innovation Lab for Food Processing and Post-Harvest Handling","2014-01-01 - 2023-06-30","Agriculture"
"Maternal and Child Survival Program (MCSP - formerly RMNCH)","2014-03-17 - 2019-12-31","Maternal and Child Health, Family Planning"
"Health Communication Capacity Collaborative (HC3)","2012-09-26 - 2018-09-25","Maternal and Child Health, Family Planning"
"Demographic and Health Surveys Phase 7 (DHS-7)","2013-09-09 - 2020-03-08","Maternal and Child Health, Family Planning"
"FY 2016 ASHA Award - American Leprosy Missions","2017-03-01 - 2022-06-30","Basic Health"
"Asia Cost Recovery-funded IT - 2017","2016-10-01 - 2017-09-30","Other Multisector"
"Anti-Terrorism Assistance Training","","Government and Civil Society"
"Emergency Protection of the Kaiser Library Collections and Post-Earthquake Stabilization of the Late-19th-Century Kaiser Mahal in Kathmandu","2017-09-20 - 2019-09-30","General Environmental Protection"
"USAID/Nepal Monitoring Evaluation and Learning - MEL","2015-04-15 - 2020-11-14","Agriculture"
"Combating Environmental Crime","2016-09-22 - 2021-09-21","General Environmental Protection"
"DRG Learning, Evaluation, and Research (DRG-LER) Activity","2013-10-01 - 2022-09-30","Government and Civil Society"
"Ensuring long term survival of recolonizing tiger population in Banke National Park and Kamdi corridor","2017-09-01 - 2019-09-30","General Environmental Protection"
"Conservation and Seismic Strengthening of the 16th-Century Char Narayan Temple in Patan Durbar Square","2017-09-29 - 2019-06-28","General Environmental Protection"
"Replenishing the Rhino Population in Bardia National Park","2017-06-01 - 2018-06-30","General Environmental Protection"
"National Endowment for Democracy Grant - Accountability and Governance","","Government and Civil Society"
"Energy Utility Partnership - USEA","2007-09-30 - 2018-09-30","General Environmental Protection"
"Bureau of Diplomatic Security - FY17 NEPAL INTERPRETERS","","Government and Civil Society"
"Proactive Pangolin Protection: Building Law Enforcement and Community Capacity to Reduce the Pangolin Trade in Nepal","2017-10-01 - 2019-09-30","General Environmental Protection"
"Monitoring and strengthening security of newly reintroduced rhinoceros in Bardia National Park, Nepal","2017-08-29 - 2019-09-30","General Environmental Protection"
"Sajhedari (Partnership for Local Development)","2012-12-01 - 2018-05-31","Conflict, Peace, and Security"
"Bureau of Diplomatic Security - DOS Miscellaneous Goods, Services, and Operations Maintenance","","Operating Expenses"
"Program Design and Learning","","HIV/AIDS"
"USAID Equipment, Lands, and Structures","","Program Design and Learning"
"Device purchases from all bureaus and missions, including laptops and docking stations","2011-09-30 - 2018-12-29","Administration and Oversight"
"Bureau of South and Central Asian Affairs - Information Redacted","","Other Multisector"
"Strengthen Human Tiger Co-existence through community education and outreach programs in.Western Terai Landscape, Nepal","2017-09-08 - 2019-09-30","General Environmental Protection"
"Conservation of Rhino and Tiger in Barandabhar Corridor Forest, Chitwan, Nepal","2017-06-02 - 2019-06-30","General Environmental Protection"
"Trilateral Transborder Wildlife Interception (TTWI )","2017-03-31 - 2018-09-30","General Environmental Protection"
"Community stewardship for human elephant co-existence at Bardia National Park.","2017-07-05 - 2019-09-30","General Environmental Protection"
"Device purchases from all bureaus and missions, including laptops and docking stations","2011-09-30 - 2018-12-29","Operating Expenses"
"DRG Learning, Evaluation, and Research (DRG-LER) Activity","2013-10-01 - 2022-09-30","Agriculture"
"Education Support & Initiative (ESI)","2015-09-30 - 2021-09-29","Agriculture"
"Global Health Supply Chain - Procurement and Supply Management (GSHC-PSM) IDIQ - Family Planning/Reproductive Health (PRH) Task Order","2015-04-15 - 2024-11-28","HIV/AIDS"
"Bureau of Diplomatic Security - FY17 NEPAL INTERPRETERS","","Government and Civil Society"
"National Endowment for Democracy Grant - Civic Education","","Government and Civil Society"
"Support for a regional Tiger, Asian Rhino and Elephant veterinary workshop","2017-08-22 - 2019-09-30","General Environmental Protection"
"Prevention and Mitigation of Conflict between Humans and Pachyderms in Nepal through outreach programs","2017-07-05 - 2019-09-30","General Environmental Protection"
"Support for informed and effective enforcement on illegal trade of rhinoceros products in.China","2017-09-19 - 2018-09-30","General Environmental Protection"
"Application of molecular method to understand and manage Human Elephant Conflict in Parsa-Chitwan Complex, Nepal.","2017-07-05 - 2018-09-30","General Environmental Protection"
"Export Control and Related Border Security Assistance, Enforcement","","Government and Civil Society"
"Sustainable Tb Diagnostic and Treatment Services for Non- Resettlement Bhutanese Refugees in Jhapa and Morang Districts","","Emergency Response"
"Procurement Support Award (PSA)","2013-07-29 - 2019-12-28","Maternal and Child Health, Family Planning"
"Bureau of South and Central Asian Affairs - DOS Equipment, Lands, and Structures","","Operating Expenses"
"Food Security Service Center","2013-09-30 - 2019-03-29","Agriculture"
"Conflict Mitigation","","Conflict, Peace, and Security"
"Human Elephant Coexistence in Koshi Tappu Wildlife Reserve, Eastern Nepal.","2017-07-05 - 2019-09-30","General Environmental Protection"
"Upscaling Women Focused Conservation Education and Outreach Programs to Promote Human Elephant Co-existence in Western Terai Landscape, Nepal.","2017-07-05 - 2018-09-30","General Environmental Protection"
"Administrative costs","2016-10-01 - 2018-09-30","Administration and Oversight"
"Procurement Support Award (PSA)","2013-07-29 - 2019-12-28","Agriculture"
"Asia Cost Recovery-funded IT - 2017","2016-10-01 - 2017-09-30","Agriculture"
"Asia Cost Recovery-funded IT - 2017","2016-10-01 - 2017-09-30","Maternal and Child Health, Family Planning"
"Bureau of South and Central Asian Affairs - DOS Miscellaneous Goods, Services, and Operations Maintenance","","Operating Expenses"
"Emergency Education Response for Nepal","2015-06-12 - 2019-12-31","Basic Education"
"Operations and Maintenance Support for USAID IT Services","2016-01-01 - 2019-05-31","Operating Expenses"
"Bureau of Diplomatic Security - Stipend for CDTT Course","","Government and Civil Society"
"Education Support & Initiative (ESI)","2015-09-30 - 2021-09-29","HIV/AIDS"
"Bureau of Diplomatic Security - Stipend for NP15FDRBA01 Course","","Government and Civil Society"
"Bureau of Diplomatic Security - DECLINING DEBIT CARD REQUEST FOR NEPAL TRAINING","","Government and Civil Society"
"Rhino Translocation from Chitwan to Bardia National Parks, Nepal","2014-07-21 - 2016-09-30","General Environmental Protection"
"Bureau of Diplomatic Security - DOS Equipment, Lands, and Structures","","Operating Expenses"
"Genetic study of Asian elephant (Elephas maximus) herds in eastern Himalaya region","2012-05-16 - 2016-06-30","General Environmental Protection"
"Bureau of Diplomatic Security - PR5207546/M0509/Lunch & Refreshment for course par","","Government and Civil Society"
"USAID Communications, Utilities, and Rental Payments","","Emergency Response"
"Mitigating Human Elephant Conflict in Buffer Zone of Bardia National Parks, Western Terai Arc Landscape, Nepal","2014-05-29 - 2016-06-30","General Environmental Protection"
"Civic Participation","","Government and Civil Society"
"USAID Miscellaneous Goods, Services, and Operations Maintanence","","Emergency Response"
"Bureau of South and Central Asian Affairs - Information Redacted","","Government and Civil Society"
"Monitoring Nepals Peace and Constitution Drafting Process","2009-09-03 - 2014-06-30","Conflict, Peace, and Security"
"Bureau of Diplomatic Security - DOS Advisory and Assistance Services","","Operating Expenses"
"Protection and Solutions","","Emergency Response"
"Ministry of Health and Population Implementation Letter - Redbook Support to Ministry of Health, DOHS","2013-07-16 - 2014-07-15","Maternal and Child Health, Family Planning"
"Global Health and Food Security in Nepal","","Agriculture"
"USAID Miscellaneous Goods, Services, and Operations Maintanence","","Conflict, Peace, and Security"
"Nepal Peace Support Project (NPSP)","2009-03-02 - 2015-01-31","Conflict, Peace, and Security"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Conflict, Peace, and Security"
"Administrative costs","2016-10-01 - 2018-09-30","Operating Expenses"
"Global Health and Food Security in Nepal","","Basic Health"
"Agricultural Sector Productivity","","Agriculture"
"Business Literacy - Nepal","2014-03-01 - 2017-02-28","Agriculture"
"Health For Life (Logistics Contract)","2013-09-26 - 2016-08-31","Maternal and Child Health, Family Planning"
"Global Health Program Cycle Improvement Project (GH Pro)","2014-07-02 - 2019-12-30","HIV/AIDS"
"MCC Office Operations","","Operating Expenses"
"Hariyo Ban","2011-08-26 - 2016-12-31","General Environmental Protection"
"Suaahara - Integrated Nutrition Program (INP)","2011-08-30 - 2016-10-28","Maternal and Child Health, Family Planning"
"Saath-Saath Project (SSP)","2011-09-30 - 2016-09-30","HIV/AIDS"
"Housing Reconstruction Cash Subsidies","","Other Social Infrastructure and Services"
"DoD Excess Defense Articles, Grant Authority","","Conflict, Peace, and Security"
"PASAM-TAI","2012-07-27 - 2018-09-30","Agriculture"
"Medical Screening, Nepal, Mh.0044","","Emergency Response"
"Fertility Awareness for Community Transformation (FACT).","2013-10-01 - 2019-09-30","Maternal and Child Health, Family Planning"
"Nepal - IDA Award","2015-04-02 - 2017-12-31","Emergency Response"
"USAID/OFDA Grant for Nepal","2016-11-01 - 2019-10-31","Disaster Prevention and Preparedness"
"UNICEF MCH Umbrella Grant","2007-09-28 - 2021-09-30","Basic Education"
"Restoration and Seismic Strengthening of the Early 20th-Century Gaddi Baithak in Kathmandu Durbar Square","2016-09-19 - 2018-06-30","General Environmental Protection"
"Forest and Natural Resource Management II PAPA with USDA/US Forest Service","2016-08-30 - 2024-08-30","General Environmental Protection"
"USAID/OFDA Grant for Nepal/Earthquake","2016-01-11 - 2016-12-31","Emergency Response"
"Family Planning Project (DFID)","2014-01-13 - 2017-10-31","Maternal and Child Health, Family Planning"
"USAID/OFDA Grant for Nepal","2012-09-28 - 2017-06-30","Disaster Prevention and Preparedness"
"Social Assistance","","Other Social Infrastructure and Services"
"Measure Evaluation IV","2014-07-01 - 2020-11-30","Maternal and Child Health, Family Planning"
"USAID/OFDA Grant for Nepal","2014-09-01 - 2018-08-31","Disaster Prevention and Preparedness"
"Earthquake Disaster Relief for Vulnerable Tibetan Refugees in Nepal","","Emergency Response"
"International Forestry Programs: E-DNA Pilot","2016-04-20 - 2017-12-31","Agriculture"
"Financing growth","2008-04-01 - 2019-12-30","Agriculture"
"USAID/OFDA Grant for Nepal","2016-04-08 - 2018-04-30","Disaster Prevention and Preparedness"
"Combating Terrorism Fellowship Program (CTFP)","","Conflict, Peace, and Security"
"Global Health Program Cycle Improvement Project (GH Pro)","2014-07-02 - 2019-12-30","Maternal and Child Health, Family Planning"
"USAID Miscellaneous Goods, Services, and Operations Maintanence","","Other Social Infrastructure and Services"
"Bureau of Diplomatic Security - S19318814Y0001-140001","2016-05-01 - 2017-10-31","Government and Civil Society"
"Contribution to United Nations High Commissioner for Refugees (UNHCR)'s Education for Refugees  Priority Activities and Requirements Supporting Enrollment and Retention in 2016 - Funding Document","","Emergency Response"
"Strengthening the Public Financial Management (PFM) Systems","2016-08-15 - 2021-08-13","Basic Health"
"National Endowment for Democracy Grant - Freedom of Information","","Government and Civil Society"
"Recovering Tigers in Nepal: A comprehensive law enforcement strategy to reduce poaching in the.Terai Arc Landscape","2016-09-08 - 2018-09-30","General Environmental Protection"
"National Endowment for Democracy Grant - Accountability","","Government and Civil Society"
"Strengthening tiger conservation initiatives in Parsa Wildlife Reserve, Nepal","2016-08-29 - 2017-09-30","General Environmental Protection"
"Harmonization of Protocols for Tuberculosis Diagnosis and Treatment in the Bhutanese Refugee Camps","","Emergency Response"
"Grazing pressure reduction for tiger conservation in and around Shuklaphanta Wildlife Reserve, Nepal","2016-09-06 - 2018-09-30","General Environmental Protection"
"Veterinary Care of Wild Rhinoceros and Tiger Population in Chitwan National Park (CNP","2016-09-06 - 2018-09-30","General Environmental Protection"
"Conservation Education and Outreach Program to reduce Human-Wildlife Conflict (Rhinoceros and Tigers) in Madi Valley of Chitwan National Park, Nepal","2016-09-06 - 2018-09-30","General Environmental Protection"
"Securing Trans-located Rhinoceros in Bardia National Park and Shuklaphanta Wildlife Reserve of Nepal through Intensive Monitoring and Improved Enforcement","2016-09-06 - 2018-09-30","General Environmental Protection"
"Strengthening human elephant co-existence through community education and outreach programs in the western Terai Landscape, Nepal","2016-06-03 - 2016-06-03","General Environmental Protection"
"Bureau of Diplomatic Security - ATA NP15PBI01 NEPAL PBI BPA","","Government and Civil Society"
"Export Control and Related Border Security Assistance, Enforcement","2016-05-26 - 2018-09-30","Government and Civil Society"
"Measure Evaluation IV","2014-07-01 - 2020-11-30","Basic Health"
"Administration and Oversight","","HIV/AIDS"
"International Forestry Programs: Silvacarbon Nepal Lidar - Woods Hole","2016-06-02 - 2017-06-30","Agriculture"
"Julia Taft Fund: Tibetan Young Women Leaders Fellowship program","","Emergency Response"
"Kathmandu Pandemic Preparedness Exercise","2016-05-16 - 2017-05-16","Basic Health"
"Water Awareness: a Transboundary Environmental Resource Workshop","2015-04-20 - 2015-12-31","Water Supply and Sanitation"
"Global Health Support Initiative II (GHSI II)","2010-06-17 - 2017-10-01","Health, General"
"Export Control and Related Border Security Assistance, Enforcement","2016-05-16 - 2016-12-31","Government and Civil Society"
"OFDA Institutional Support Contract IQC - Task Order 16 to support Office of Civilian Response (OCR)","2006-08-21 - 2016-12-31","Agriculture"
"Bureau of Diplomatic Security - 19318814Y0007-140001","2016-05-01 - 2017-10-31","Government and Civil Society"
"Bureau of Diplomatic Security - Logistics and Meeting Coordination for Environment","2016-05-01 - 2017-10-31","Government and Civil Society"
"USAID Pay and Benefits","","Program Design and Learning"
"U.S. Peace Corps Overseas Program Support","","Basic Health"
"Global Health Program Cycle Improvement Project (GH Pro)","2014-07-02 - 2019-12-30","Agriculture"
"Bureau of Diplomatic Security - S-OES-13-IAA-0007","","Government and Civil Society"
"Singha Durbar","2014-01-03 - 2018-10-01","Conflict, Peace, and Security"
"Global Health Support Initiative II (GHSI II)","2010-06-17 - 2017-10-01","Maternal and Child Health, Family Planning"
"Bureau of Diplomatic Security - Special Contracts for Research, Development and Others - Police/Military Guards (A, B)","","Government and Civil Society"
