Name of the Project,Link to the project,Duration of the Project,Project Details
Home Garden,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page4.html/content/dezaprojects/SDC/en/2002/7F02339/phase4?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"16.01.2014
                                - 31.12.2021"," Small and marginal farmers in Nepal, especially women and children, are regularly exposed to malnutrition and are vulnerable to external shocks such as health risks and natural hazards. Home garden aims to improve family nutrition and reduce vulnerability of such individuals and households. Objectives are to diversify dietary sources of disadvantaged groups in homestead for family consumption and increase capacity for adaptation to natural hazards and climate change. The project strengthens the safety net and the coping strategy of the most vulnerable in Nepal. "
Nepal Agricultural Markets Development Programme (NAMDP),https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page4.html/content/dezaprojects/SDC/en/2014/7F08486/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.01.2014
                                - 30.11.2020"," Semi-commercial small farmers, mostly cultivating less than 1 ha and often from disadvantaged groups, face significant hurdles to participate in agricultural product and input markets, thus failing to tap existing potentials to increase their production, farm income and well-being. Complementary to other Swiss projects, NAMDP will focus on market system development to foster market-led and inclusive growth of commercial agriculture, working with the production and marketing actors. "
Local Governance and Community Development Programme (LGCDP) II,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page4.html/content/dezaprojects/SDC/en/2008/7F06372/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"16.07.2013
                                - 31.12.2020"," As a result of this project, the demand side of local governance will be strengthened through the empowerment of right holders. Social mobilization interventions will enable beneficiaries to more effectively demand public services and hold national and local governments accountable. Simultaneously, the supply side will be strengthened. As a result, local bodies with strengthened institutional capacity and resources will provide services more effectively to the people, esp. to disadvantaged groups. In addition, an enabling policy environment will be promoted. Inter alia, this will help to prepare Nepal for a future federal system, as and when this system is defined in the new constitution. "
Safer Migration (SaMi) Project,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page4.html/content/dezaprojects/SDC/en/2010/7F07207/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"16.07.2013
                                - 31.12.2020"," SaMi addresses the needs of Nepali men and women who migrate to the Middle East and Southeast Asia on short term labour contracts. To reduce the financial and social costs of migration and to increase its financial benefits, the project facilitates access to relevant information, pre-departure skills trainings, legal and psychosocial support. SaMI also strengthens government’s capacity to effectively implement the labour migration policy and protect migrants. Some 170’000 people will benefit from the project over four years. "
Support to the Peace Process in Nepal (Nepal Peace Trust Fund) – Phase IV,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page4.html/content/dezaprojects/SDC/en/2007/7F05340/phase4?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.05.2013
                                - 31.03.2018"," Through the single funding channel of the NPTF, donors strengthen the role and capacity of the state in Nepal’s peace process. This enables suporting elements of this process that are either pivotal, such as the Constitutional Assembly, the national and local elections, the rehabilitation of ex-combatants and the establishment of transitional justice mechanisms or peripheral like reconstruction of police posts destroyed during the war, establishment of medical centres for disabled victims of the war, strengthening of local peace committees. All this support globally contributes to increasing security for the population. "
Local Roads Improvement Programme (LRIP – I),https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page4.html/content/dezaprojects/SDC/en/2012/7F08536/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.12.2012
                                - 31.12.2021"," Past SDC interventions have focussed on making rural road construction work for the poor and disadvantaged through labour-intensive construction methods. This project now takes proven approaches further by ensuring even more all-weather accessibility to markets and services by emphasising the importance of maintenance and preservation of built roads through promotion of labour-based roads maintenance methods and by fostering an institutional process in the districts, which should pave the way for the highly successful concepts of road construction and maintenance to be adopted as national standards. "
Nepal Resident Coordinator Office Support in Transition,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page4.html/content/dezaprojects/SDC/en/2010/7F05378/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.08.2012
                                - 31.12.2014"," This initiative is in line with SDC’s priorities both at a global level, regarding the UN coherence and improved response in post-conflict transition, and at Nepal level as the country is still in a critical phase of the peace process. The Transition support strategy (TSS) supports the strengthening of relevant actors in the peace process and the stronger coordination and harmonisation of development partners. "
Strengthening Local Governance Accountability Project (SLGAP),https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page5.html/content/dezaprojects/SDC/en/2012/7F08312/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.04.2012
                                - 31.08.2019"," The project empowers communities to claim their developmental rights by capacitating local civil society organisations (CSOs) to hold their local governments accountable. This is achieved by applying various social accountability (SA) tools. A protracted phase of political transition, a lack of structural accountability and transparency, rising corruption at all levels of government, and an absence of elected representatives makes the intervention highly relevant for target communities in SDC project areas. "
Supporting the BOGs Group,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page5.html/content/dezaprojects/SDC/en/2009/7F07047/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.10.2011
                                - 30.09.2013",
"Power Plant Extension SCECO (PPE SCECO), Nepal – Single Phase",https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page5.html/content/dezaprojects/SDC/en/2011/7F08073/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.09.2011
                                - 30.06.2015",
National Forestry Programme,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page5.html/content/dezaprojects/SDC/en/2011/7F07309/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"16.07.2011
                                - 31.12.2019",
"SSMP, PHASE 4 (01.01.2011 - 31.12.2014)",https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page5.html/content/dezaprojects/SDC/en/1998/7F03149/phase4?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.01.2011
                                - 31.12.2014",
TBSSP Trail Bridge Sub-Sector Project,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page5.html/content/dezaprojects/SDC/en/2001/7F01702/phase3?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.01.2011
                                - 30.09.2014",
A vocational education and training fund for disadvantaged people in Nepal,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page5.html/content/dezaprojects/SDC/en/2011/7F06976/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.01.2011
                                - 30.06.2017", The SDC established the Nepal Employment Fund together with the Government of Nepal and other partners to create training opportunities for young and disadvantaged people.  Training institutions fund the courses and the fund reimburses them if those receiving training find a job with a satisfactory income. 
Vegetable Seed Project,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page5.html/content/dezaprojects/SDC/en/2004/7F02960/phase3?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.01.2011
                                - 31.12.2014",
Motorable Local Roads Bridge Programme (MLRBP) – Phase I,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page5.html/content/dezaprojects/SDC/en/2010/7F07595/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.10.2010
                                - 31.05.2016"," Lack of access aggravated by absence of bridges and adequately maintained local roads is one of the primary reasons for high incidence of poverty in Nepal. The increased confidence of the Government of Nepal in the Swiss Technical Assistance has led the Government to double its budget in this sector, bearing also in mind the need to ensure easy access for reconstruction to the earthquakes affected areas. As part of Switzerland’s contribution to reconstruction, SDC will support the preparation of 100 additional bridges until the end of 2015. "
NARC/CIMMYT Hill Maize Research Project,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page5.html/content/dezaprojects/SDC/en/1998/7F03093/phase4?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.08.2010
                                - 31.12.2014",
District Roads,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page5.html/content/dezaprojects/SDC/en/1998/7F03155/phase5?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"16.07.2010
                                - 31.12.2014",
Assistance matérielle et services d’urgence,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page5.html/content/dezaprojects/SDC/en/2010/7F07207/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.02.2010
                                - 15.07.2013",
Strengthening the Capacity of National Human Rights Commission of Nepal,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page6.html/content/dezaprojects/SDC/en/2001/7F01441/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.01.2010
                                - 31.12.2014",
Local Infrastructure for Livelihood Improvement (LILI),https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page6.html/content/dezaprojects/SDC/en/2006/7F04701/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.08.2009
                                - 31.07.2014"," Agricultural production, besides migration, will remain the main pillar for rural livelihood in Nepal for some time, mainly because suitable framework conditions for the other strategies (off-farm economic activities) will take time to evolve. Improving agricultural production requires reliable irrigation systems. In the context where big irrigation schemes usually receive attention, LILI’s involvement in small irrigation provides meaningful contribution to improve the food security of the marginal farmers as well as help influence government policies in their favour. "
Rural Health Development Project,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page6.html/content/dezaprojects/SDC/en/1990/7F03129/phase7?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"16.07.2009
                                - 15.07.2013",
Good Governance program - Pro Public,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page6.html/content/dezaprojects/SDC/en/2000/7F01039/phase4?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.03.2009
                                - 15.07.2012",
NSCFP N-S Community Forestry Project,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page6.html/content/dezaprojects/SDC/en/1990/7F03128/phase6?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.07.2008
                                - 15.07.2011",
Franchising SKILL Approach,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page6.html/content/dezaprojects/SDC/en/2002/7F01751/phase3?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.05.2008
                                - 31.10.2011",
Brick Project,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page6.html/content/dezaprojects/SDC/en/2001/7F01898/phase5?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.01.2008
                                - 31.12.2012",
"Disaster Risk Financing and Insurance, Phase III",https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page6.html/content/dezaprojects/SECO/en/2022/UR01090/phase3?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.05.2022
                                - 30.04.2027"," SECO is partnering with the World Bank to implement the Disaster Risk Financing and Insurance (DRFI) Program. The Program supports SECO priority countries in building their financial resilience to natural disasters and other crisis, including pandemics."
"Public Financial Management Nepal, Phase II",https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page6.html/content/dezaprojects/SECO/en/2022/UR00882/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.06.2020
                                - 31.01.2026"," This project supports public finance reforms in Nepal against the background of the country's ongoing federal transition. It is the second phase of an existing SECO engagement, which supports the Government of Nepal in implementing its public financial management reform program."
"Public Financial Management Nepal, Phase I",https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page6.html/content/dezaprojects/SECO/en/2022/UR00882/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.03.2014
                                - 31.12.2018"," Strengthening Public Financial Management (PFM) at central and local level is essential for stronger governance, improved outputs from public resources and effective resource management. This Trust Fund is a vehicle for development partners to address PFM reform issues in a programmatic and harmonized way with the Government of Nepal."
MiRiDew - Migrant Rights and Decent Work,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page7.html/content/dezaprojects/SDC/en/2018/7F10049/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.07.2023
                                - 31.12.2026", Remittances sent home by over 4 million migrant workers have significantly contributed to the economic development of Nepal. The proposed project will enhance the capacities of the Government of Nepal and strengthen mechanisms to better protect the rights of workers abroad. There will be a special focus on women’s need and the adverse effects of climate change exacerbating the vulnerability of migrants. The project capitalises on Switzerland’s longstanding engagement on labour migration in Nepal.
DIGI Nepal - Digital Innovation for Growth and Inclusion,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page7.html/content/dezaprojects/SDC/en/2022/7F11005/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.07.2023
                                - 30.06.2025"," This project Digital Innovation for Growth and Inclusion in Nepal, promotes digital innovation that is essential for an increased access of women and men, including from discriminated groups and beyond the capital, to affordable basic services. Therefore, it provides technical assistance and co-funding to digital tech providers, and facilitates their access to Swiss and international expertise and business relations. Digital innovation will also lead to market expansion as well as the creation of jobs and income."
Enhanced Skills for Sustainable and Rewarding Employment (ENSSURE) Phase II,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page7.html/content/dezaprojects/SDC/en/2014/7F09104/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"16.07.2021
                                - 15.07.2025"," For Nepalese women and men to gain and retain social and economic benefits from lifelong learning, the establishment of a well-functioning federalised Technical and Vocational Education and Training (TVET) system is crucial. In light of its long-standing expertise in TVET and federalism, Switzerland is well placed to support the implementation of a federalised TVET system that responds to the needs of enterprises and increases the prospect of gainful employment for all, especially youths."
2021 Population and Housing Census of Nepal,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page7.html/content/dezaprojects/SDC/en/2021/7F10767/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.07.2021
                                - 31.12.2024"," The goal is to support the Government of Nepal to conduct the 2021 census in line with international standards to obtain high quality data, reflecting Nepal’s social, ethnic, religious and linguistic diversity and which can be used to better respond to the needs of the different population groups. Given its track record and emphasis on federal state building, Switzerland has a key interest that the census is adapted to the federal context and gender equality and social inclusion principles are followed."
Quality TVET for Youth (QualiTY),https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page7.html/content/dezaprojects/SDC/en/2021/7F10737/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.06.2021
                                - 15.07.2026"," The overall goal of the project is for Nepalese youth to benefit from quality Technical and Vocational Education and Training (TVET) and better employment prospects. To achieve this, the project will support the federal, provincial and local governments of Nepal to establish an accreditation and coaching system so that TVET schools can improve and meet national quality requirements. The project capitalises on Switzerland’s long-standing and unique expertise in TVET federalisation."
Reintegration of Returnee Migrant Workers Project,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page7.html/content/dezaprojects/SDC/en/2021/7F10648/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.01.2021
                                - 31.05.2027"," The project will contribute to ensure migrant workers benefit fully from their migration experience by supporting the reintegration of returnee migrant workers in Nepal. It will work with the Nepali Government to provide reintegration services and support policy development to anchor them in the federal structure. Switzerland has a key interest that the potential of migration for development is fully used and is well positioned to engage on the topic, given its track record in migration in Nepal."
MLRBP - Motorable Local Roads Bridge Programme,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page7.html/content/dezaprojects/SDC/en/2010/7F07595/phase4?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.01.2021
                                - 31.12.2024"," The project contributes to the consolidation of Swiss Knowhow transfer in the bridge building sector by supporting the government of Nepal in institutionalizing the implementation of local infrastructure at provincial levels in the spirit of the devolved provisions made in the new Constitution. This will increase people’s perception that their provincial government delivers most essential physical access to basic services and economic opportunities, boosting their confidence in the new federal system."
Private Sector-led Economic Recovery from COVID-19,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page7.html/content/dezaprojects/SDC/en/2020/7F10622/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.09.2020
                                - 31.12.2024",
Nepal Vocational Qualifications System (NVQS) Phase Il,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page7.html/content/dezaprojects/SDC/en/2014/7F08972/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"16.07.2020
                                - 15.07.2024"," Based on Swiss expertise in Technical and Vocational Education and Training, the project contributes to establish a federal vocational qualifications system. The NVQS will increase the
transparency on the labour market for employers and workers, improve official recognition of
workers competencies in hospitality, construction and automobile sectors and allow links between
TVET and general education to access higher level qualifications for better employment in
domestic and international labour market."
NAMDP - Nepal Agricultural Markets Development Program,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page7.html/content/dezaprojects/SDC/en/2014/7F08486/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.07.2020
                                - 30.11.2024"," This market systems development project seeks to stimulate job creation and increase income, including for women and disadvantaged groups, through a successful transformation of agricultural markets in Province 1 of Nepal. Leveraging Swiss expertise in market systems and geographical focus in the province, it will align with the provincial government’s priorities and strengthen its potential to effectively regulate, nurture and stimulate markets’ productivity and competitiveness."
GBVPR - Gender-based Violence Prevention and Response Project,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page7.html/content/dezaprojects/SDC/en/2016/7F09472/phase2?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.07.2020
                                - 04.08.2026"," With its longstanding experience in promoting psychosocial support services and a strong engagement in support of federal state building, Switzerland is well positioned to engage on reducing all forms of GBV and discrimination against women in Nepal. The project aims at strengthening and institutionalizing a coordinated, survivor-centred response for GBV victims, addressing root causes and engaging with all government levels for a more gender equitable policy environment."
Support to Relief and Recovery from COVID-19,https://www.eda.admin.ch/countries/nepal/en/home/international-cooperation/projects.olddesign.olddesign.olddesign.olddesign.olddesign.par_projectfilter_2b80_page7.html/content/dezaprojects/SDC/en/2020/7F10508/phase1?oldPagePath=/content/countries/nepal/en/home/internationale-zusammenarbeit/projekte.html,"01.05.2020
                                - 01.09.2025"," The proposed interventions support the Government of Nepal in its efforts to contain the further spread of COVID-19 and to address the socio-economic consequences, in particular for disadvantaged groups. As a trusted partner and with its longstanding experience in development cooperation, Switzerland is well positioned to effectively provide relief and recovery during, and in the aftermath of the pandemic, in close collaboration with local and international stakeholders."
