Name of the Project,Link to the project,Procurement Details,Link to the Procurement,Date of Publishment
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Monitoring and Evaluation Consultant for PPU,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00202841,"October 20, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Financial Management Consultant for PPU,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00202847,"October 20, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Environment and Social Framework Consultant/ Environment for PPU,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00202848,"October 20, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of Medicine for Parasite Control in Chyangra and Goat, DLSU, Pokhara",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00202882,"October 20, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Financial Management Consultant for PPU,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00202915,"October 20, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Financial Management Consultant for PPU,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00202917,"October 20, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Construction of Livestock Service Centre at Kabilasi, sarlahi",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00202445,"October 17, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Construction of Livestock Service Centre at Phedikhola, Syangja",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00202451,"October 17, 2022"
Digital Nepal Acceleration (DNA) Project - P176543,http://projects.worldbank.org/en/projects-operations/project-detail/P176543,Digital Nepal Acceleration (DNA) Project,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00202434,"October 16, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance of Parasi-Bhairahawa road (KM 532.240 to KM 555.19) of NH05_026, and Bamaha Khola-Kothi River road (KM 598.21 to KM 615.45) of NH01-048",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00201869,"October 11, 2022"
Accelerating Transport and Trade Connectivity in Eastern South Asia – Nepal Phase 1 Project - P177902,http://projects.worldbank.org/en/projects-operations/project-detail/P177902,Consulting Service for Construction Supervision of Improvement of Butwal-Gorusinghe-Chanauta Road & Bridges and Detailed Engineering Design of Improvement of Gorusinghe-Chanauta Section of Mahendra Highway and associated Bridges,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00198550,"October 10, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,"Procurement of Computer, Laptop and other IT Equipment's",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00201653,"October 10, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Construction of Livestock Service Centre at Sahidnagar, Dhanusha",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00199835,"September 29, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Construction of Livestock Service Centre, Harion, Sarlahi",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00199838,"September 29, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Construction of Livestock Service Centre, Suklagandaki, Tanahun",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00199839,"September 29, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Procurement of forest fire control equipment,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00199936,"September 29, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Procurement of multi spectral UAV equipment for forests and biomass survey,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00199937,"September 29, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Procurement of equipment for carbon analysis,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00199939,"September 29, 2022"
Nepal Urban Governance and Infrastructure Project - P163418,http://projects.worldbank.org/en/projects-operations/project-detail/P163418,"Upgradation of Madandangi - Tarabari Dipu Road, Damak",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00199483,"September 28, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of  Barkhe Khola-Dhulikhel(km 149.000-156.000 of BP Highway link NH13-006),Dhulikhel Bardibas Road Project, DOR",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00199724,"September 28, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Hiring of Procurement Consultant for Six months- 1 No. (To support the procurement activities of EVENT II for fiscal year 2022/23),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00199331,"September 27, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Purchase of Tablets (3 No.s), Desktop Computers (8 No.s), Laptop (6 No.s), Printer 3 in 1 (8 No.s) for ECO Office",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00198183,"September 22, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of Winter Forage Seeds and Distribution-DLSU Butwal,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00198217,"September 22, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Furnishing OPD,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00198248,"September 22, 2022"
Nepal Urban Governance and Infrastructure Project - P163418,http://projects.worldbank.org/en/projects-operations/project-detail/P163418,"Upgradation of Talchowk - Begnas Road, Pokhara",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00198269,"September 22, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of Winter Forage Seeds and Distribution-DLSU Hetauda,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00197870,"September 21, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of 5 Motorcycles (150 CC or More) for ECO Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00197878,"September 21, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Environmental Consultant- 1 No. (4 months),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00197379,"September 20, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Purchase of Laptop 1 No.& Scanner 2 pcs.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00197517,"September 20, 2022"
Nepal Urban Governance and Infrastructure Project - P163418,http://projects.worldbank.org/en/projects-operations/project-detail/P163418,"Upgradation of Mangalapur - Kanchhibazar Road, Tilottama",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00197733,"September 20, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Service Provider for Technical and Financial Verification: Multi Tech Engineering Consultancy Pvt. Ltd.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00197744,"September 20, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of 2 Motorcycles (150 CC or More) for OPD,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196720,"September 18, 2022"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of Potato Seeds,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196733,"September 18, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Repair and Maintenance of Kitchen and Office Enquiry rooms,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196734,"September 18, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of 4 wheeler for OPD Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196743,"September 18, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase and Installation of AC (8 Nos.) for OPD,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196746,"September 18, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Information Technology Consultant- 1 No. (5 months),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196748,"September 18, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of 4WD Double Cab PIckup For OPD,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196749,"September 18, 2022"
Nepal Urban Governance and Infrastructure Project - P163418,http://projects.worldbank.org/en/projects-operations/project-detail/P163418,Project Management Support Team (PMST),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196753,"September 18, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Financial Management Consultant- 1 No. (6 months),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196754,"September 18, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Recruitment of Individual Consultant for the Preparation of Grant Operating Manual,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196790,"September 18, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of Winter Forage Seeds and Distribution-DLSU Pokhara,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196801,"September 18, 2022"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of Potato Seeds,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196313,"September 16, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of Breeding Bucks-15 Numbers for Breeder and Multiplier Herds of Goat-DLSU, Biratnagar",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196394,"September 16, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Consultancy services for preparation of DPR for regional market,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00196562,"September 16, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Hiring of IT Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00195932,"September 15, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of Winter Forage Seeds and Distribution-DLSU Biratnagar,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00195612,"September 14, 2022"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,Mid-term Evaluation of Prime Minister Employment Programme (PMEP) and Youth Employment Transformation Initiative (YETI) Project,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00194503,"September 8, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,procurement of PFM National Consulting Services for IPFMRP .,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00194141,"September 6, 2022"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of Portable Pocket Projectors (22 Nos.) for PMU and PCUs,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193825,"September 4, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Site Engineer: Ashish Dutta Bhatta,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193831,"September 4, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Site Engineer: Pitamber Pandey,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193832,"September 4, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,"Procurement of Computer, Printer, laptop, projector, server, scanner and other Electronic Equipment for office operation",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193411,"August 31, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Senior Monitoring & Evaluation Specialist: Mr. Lok Raj Pathak,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193265,"August 30, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Site Engineer: Prabhat Kumar Jha,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193266,"August 30, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Site Engineer: Bishnu Dawadi,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193267,"August 30, 2022"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,"Production of AV contents to promote domestic employment opportunities, non-discrimination and dignity of labour at the work place. (5 short videos-at least full HD quality- of at least 3 minutes each to be able to publish though communication channel",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193301,"August 30, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of motorcycle (2 in No) for OPD,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193114,"August 29, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Selection of Monitoring and Evaluation Expert,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193116,"August 29, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Selection of Monitoring and Evaluation Expert,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193138,"August 29, 2022"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,"Production of short videos (5 short videos of at least of 3 minute each- at least full HD quality) to promote YETI/PMEP activities (progress, lesson, success and related others",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193145,"August 29, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Procurement of consultant service for Development/Upgrading/training/Printing of Study Materials of CA Education and incorporation of PFM materials in ICAN Syllabus,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193064,"August 28, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,"Selection of Firm for ""Resource Mapping System for disaster response and entering of data for all 77 districts """,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193070,"August 28, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Climate and Carbon Specialist: Mr. Shreejan Ram Shrestha,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193084,"August 28, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Technical Officer: Nabin Kumar Shrestha,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193085,"August 28, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Programme Officer: Anupam Bhusal,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193086,"August 28, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Municipal Waste to Energy Project Coordinator: Rabindra Dhital,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193087,"August 28, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Provincial Project Coordinator (including project focal person of Bagmati Province): Ramesh Ranabhat,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193088,"August 28, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Site Engineer: Sujan Poudel,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00193089,"August 28, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Hiring of consulting services for the review and verification of data in the EHRP-MIS of IDA Beneficiary,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192923,"August 26, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Hiring of consulting services for the support and enhancement of the web-based EHRP Management Information System (EHRP-MIS),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192940,"August 26, 2022"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,Procurement of Laptop computers and some IT equipment for PMU staff and consultants,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192944,"August 26, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Selection of Firm for Emergency Preparedness and Rescue (EPR) System considering Four Levels Emergency Operations Center (EOC) including Health Emergency Operation,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192947,"August 26, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Consultancy Services for Detailed Project Report (DPR) of Provincial-level Regional Market Centers,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192723,"August 25, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Procurement of assistive devices for earthquake affected persons with disabilities,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192770,"August 25, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Hiring of consulting services for the IDA Compliance Support,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192779,"August 25, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of Kalanki-Balkhu link NH39-011(km 18.95-21.95), Manohara-Koteshwar link NH39-001(0.000-1.000),Lainchaur-Ringroad-Balaju Bypass link F021-02 (km 4.38-5.34), Lainchaur-Maharajgunj, link F025-01(km 0.00 to 1.00), Sankhu-Lapsiphedi-Bhot",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192890,"August 25, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of Balkhu-Ekantakuna (KTM Ring Road) link NH39-012 (km21.95-23.95), Ekantakuna-Kusanti-Satdobato link NH39-013 ( km 23.95-25.95), Satdobato-Gwarko link NH39-014 ( km 25.95-27.45),  Gwarko-Manohara (Balkumari), link NH39-015 (km 27.45",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192893,"August 25, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,"Publication of National Policy, Act, Regulation, Guidelines, and Other Documents",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192496,"August 24, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,"Hiring of consulting services for the modification of 32 households and mobile mason training on
making homes accessible to all",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192586,"August 24, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Transaction Advisory Services under SRCTIP,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00189424,"August 23, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Procurement of Safeguard Consultant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192247,"August 23, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Procurement of Communication and IT System,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192256,"August 23, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Hiring of Consulting Firm for Municipal DRRM Plan of 10 LGs,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192039,"August 22, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Hiring of Consulting firm for Building Capacity of NDRRMA & Designing E-Learning Platform,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192054,"August 22, 2022"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,"Production and broadcasting of PMEP/YETI visual programme on minimum employment, role of local government to promote employment opportunities, domestic employment promotive activities and dignity of labour campaign activities Nepal Television (G2G).",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00192084,"August 22, 2022"
MDTF Funding for Earthquake Housing Reconstruction Project - P162067,http://projects.worldbank.org/en/projects-operations/project-detail/P162067,Municipality Capacity Assessment for National Building Code (NBC) Implementation and Preparation of a National Framework to Implement NBCs to make Nepal resilient from disasters caused by various hazards,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191981,"August 21, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Environment and Social Framework/ Environment,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191983,"August 21, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Environment and Social Framework Consultant/ Environment for PPU,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191985,"August 21, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Recruitment of Procurement Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191976,"August 20, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Junior Monitoring Assistant -1 No. (12 months),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191696,"August 18, 2022"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Hiring of Communication Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191714,"August 18, 2022"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Hiring of Project Support Consultant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191747,"August 18, 2022"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Hiring of Project Support Consultant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191782,"August 18, 2022"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Hiring of Financial Management Analyst,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191783,"August 18, 2022"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Hiring of Sr. Management Information Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191785,"August 18, 2022"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Hiring of Senior Financial Management Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191788,"August 18, 2022"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Hiring of Structural Engineer,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191794,"August 18, 2022"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Hiring of Disaster Risk Management Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191805,"August 18, 2022"
Earthquake Housing Reconstruction Project - P155969,http://projects.worldbank.org/en/projects-operations/project-detail/P155969,Hiring of MIS Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191812,"August 18, 2022"
Water Sector Governance and Infrastructure Support Project - P176589,http://projects.worldbank.org/en/projects-operations/project-detail/P176589,"3.2 Consulting Services for Urban Water Supply, Technical Design Supervision and Governance Support Consulting services in Surkhet and Dipayal, with one team in each municipality",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191819,"August 18, 2022"
Water Sector Governance and Infrastructure Support Project - P176589,http://projects.worldbank.org/en/projects-operations/project-detail/P176589,"3.1 Consulting Services for Technical and Governance Support to Janaki, Bardagoriya, Joshipur, Sharda municipalities with one independent team for each municipality",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191820,"August 18, 2022"
Water Sector Governance and Infrastructure Support Project - P176589,http://projects.worldbank.org/en/projects-operations/project-detail/P176589,3.3 Consulting Services for Project Support Team at DWSSM and NWASH support,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191821,"August 18, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,"Preparation of Land Use Plans for Local Municipalities Cluster-2 ( ERPD Areas of State-2 and 5, Municipalities will be decided latter)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191503,"August 17, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Financial Management Assistant- 1 No. (12 months),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191555,"August 17, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Vocational Training Assistant -1 No. (12 months),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191577,"August 17, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Monitoring Assistant -1 No. (12 months),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191688,"August 17, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Junior Vocational Training Assistant -1 No. (12 months),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00191690,"August 17, 2022"
